cell_id,Cisticola robustus,Cisticola robustus santae,Cisticola robustus robustus/schraderi,Cisticola robustus omo,Cisticola robustus nuchalis/awemba,Cisticola robustus angolensis
825287fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
825297fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82529ffffffffff,62.0,0.0,0.0,0.0,0.0,0.0
826a6ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
826ac7fffffffff,210.0,0.0,0.0,0.0,0.0,0.0
826acffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
826adffffffffff,35.0,0.0,0.0,0.0,0.0,0.0
826aeffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
827a47fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
827a4ffffffffff,62.0,0.0,0.0,0.0,0.0,0.0
827a67fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
827a6ffffffffff,940.0,0.0,0.0,0.0,0.0,0.0
827acffffffffff,23.0,0.0,0.0,0.0,0.0,0.0
827adffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
827aeffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
828337fffffffff,4.0,0.0,0.0,0.0,0.0,4.0
8283affffffffff,1.0,0.0,0.0,0.0,0.0,1.0
82960ffffffffff,39.0,0.0,0.0,0.0,0.0,15.0
829617fffffffff,9.0,0.0,0.0,0.0,2.0,0.0
829657fffffffff,6.0,0.0,0.0,0.0,0.0,4.0
829697fffffffff,37.0,0.0,0.0,0.0,0.0,0.0
8296a7fffffffff,7.0,0.0,0.0,0.0,3.0,0.0
8296affffffffff,2.0,0.0,0.0,0.0,1.0,0.0
8296b7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82979ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
