cell_id,Mionectes oleagineus,Mionectes oleagineus assimilis,Mionectes oleagineus parcus,Mionectes oleagineus pacificus,Mionectes oleagineus [oleagineus Group]
8445233ffffffff,2.0,0.0,0.0,0.0,0.0
8445249ffffffff,10.0,0.0,0.0,0.0,0.0
8445261ffffffff,1.0,0.0,0.0,0.0,0.0
844526dffffffff,2.0,0.0,0.0,0.0,0.0
84452abffffffff,1.0,0.0,0.0,0.0,0.0
84452adffffffff,5.0,0.0,0.0,0.0,0.0
84452e1ffffffff,3.0,0.0,0.0,0.0,0.0
84452e5ffffffff,4.0,0.0,0.0,0.0,0.0
8449961ffffffff,5.0,0.0,0.0,0.0,0.0
8449963ffffffff,4.0,0.0,0.0,0.0,0.0
844996bffffffff,1.0,0.0,0.0,0.0,0.0
845f583ffffffff,3.0,0.0,0.0,0.0,0.0
846610bffffffff,2.0,0.0,0.0,0.0,0.0
84661cdffffffff,5.0,0.0,0.0,0.0,0.0
8466a33ffffffff,2.0,0.0,0.0,0.0,0.0
8466b0bffffffff,5.0,0.0,0.0,0.0,0.0
8466b1dffffffff,1.0,0.0,0.0,0.0,0.0
8466b51ffffffff,3.0,0.0,0.0,0.0,0.0
8466b53ffffffff,1.0,0.0,0.0,0.0,0.0
8466b55ffffffff,1.0,0.0,0.0,0.0,0.0
8466d31ffffffff,1.0,0.0,0.0,0.0,0.0
8466d35ffffffff,5.0,0.0,0.0,0.0,0.0
8466de1ffffffff,2.0,0.0,0.0,0.0,0.0
8467413ffffffff,1.0,0.0,0.0,0.0,0.0
8467427ffffffff,2.0,0.0,0.0,0.0,0.0
84675b3ffffffff,1.0,0.0,0.0,0.0,0.0
84675c7ffffffff,2.0,0.0,0.0,0.0,0.0
84675cbffffffff,2.0,0.0,0.0,0.0,0.0
84679a5ffffffff,2.0,0.0,0.0,0.0,0.0
846d20bffffffff,2.0,0.0,0.0,0.0,0.0
846d21dffffffff,2.0,0.0,0.0,0.0,0.0
846d223ffffffff,1.0,0.0,0.0,0.0,0.0
846d295ffffffff,2.0,0.0,0.0,0.0,0.0
846d2b9ffffffff,1.0,0.0,0.0,0.0,0.0
846d2c9ffffffff,2.0,0.0,0.0,0.0,0.0
846d2cbffffffff,1.0,0.0,0.0,0.0,0.0
846d2d3ffffffff,2.0,0.0,0.0,0.0,0.0
846d315ffffffff,2.0,0.0,0.0,0.0,0.0
846d34bffffffff,2.0,0.0,0.0,0.0,0.0
846d64dffffffff,4.0,0.0,0.0,0.0,0.0
846d681ffffffff,2.0,0.0,0.0,0.0,0.0
846d697ffffffff,1.0,0.0,0.0,0.0,0.0
846d69dffffffff,1.0,0.0,0.0,0.0,0.0
846d743ffffffff,4.0,0.0,0.0,0.0,0.0
846d74bffffffff,3.0,0.0,0.0,0.0,0.0
846d75dffffffff,9.0,0.0,0.0,0.0,0.0
8481833ffffffff,2.0,0.0,0.0,0.0,0.0
848f0d3ffffffff,2.0,0.0,0.0,0.0,0.0
848f73dffffffff,1.0,0.0,0.0,0.0,0.0
