cell_id,Serpophaga subcristata,Serpophaga subcristata subcristata/straminea,Serpophaga subcristata munda
848b713ffffffff,3.0,1.0,0.0
84a8293ffffffff,1.0,0.0,0.0
84a8599ffffffff,2.0,0.0,2.0
84a85d3ffffffff,32.0,0.0,32.0
84a876dffffffff,1.0,0.0,0.0
84a9057ffffffff,6.0,0.0,2.0
84a9411ffffffff,4.0,2.0,2.0
84a9447ffffffff,1.0,1.0,0.0
84a9461ffffffff,51.0,51.0,0.0
84a9465ffffffff,277.0,277.0,0.0
84a9467ffffffff,52.0,52.0,0.0
84a946dffffffff,17.0,17.0,0.0
84a94c7ffffffff,2.0,2.0,0.0
84a94ddffffffff,6.0,6.0,0.0
84a94e5ffffffff,13.0,6.0,6.0
84a9501ffffffff,1.0,0.0,0.0
84a9559ffffffff,1.0,1.0,0.0
84a95edffffffff,1.0,0.0,0.0
84a9611ffffffff,4.0,4.0,0.0
84a9613ffffffff,39.0,39.0,0.0
84a9617ffffffff,12.0,12.0,0.0
84a9619ffffffff,8.0,8.0,0.0
84a9653ffffffff,14.0,14.0,0.0
84a9685ffffffff,3.0,3.0,0.0
84a96abffffffff,2.0,2.0,0.0
84a96adffffffff,2.0,2.0,0.0
84a96b9ffffffff,14.0,6.0,5.0
84a96c5ffffffff,2.0,2.0,0.0
84a96e3ffffffff,2.0,2.0,0.0
84a96e7ffffffff,4.0,4.0,0.0
84a9733ffffffff,9.0,9.0,0.0
84a973bffffffff,6.0,6.0,0.0
84b2091ffffffff,2.0,0.0,2.0
84b242bffffffff,7.0,7.0,0.0
84b2435ffffffff,8.0,8.0,0.0
84b243dffffffff,3.0,3.0,0.0
84b2443ffffffff,1.0,0.0,0.0
84b245dffffffff,1.0,0.0,0.0
84b248bffffffff,10.0,7.0,0.0
84b2491ffffffff,2.0,2.0,0.0
84b2497ffffffff,4.0,4.0,0.0
84b2499ffffffff,19.0,19.0,0.0
84b249bffffffff,18.0,11.0,0.0
84b249dffffffff,23.0,20.0,3.0
84b24a9ffffffff,3.0,0.0,0.0
84b24adffffffff,4.0,0.0,4.0
84b24b9ffffffff,4.0,4.0,0.0
84b24c3ffffffff,2.0,2.0,0.0
84b24d1ffffffff,45.0,45.0,0.0
84b24d3ffffffff,157.0,127.0,0.0
84b24d5ffffffff,13.0,13.0,0.0
84b24d7ffffffff,30.0,30.0,0.0
84b24d9ffffffff,18.0,15.0,3.0
84b24dbffffffff,112.0,107.0,2.0
84b24ddffffffff,3.0,3.0,0.0
84b2583ffffffff,11.0,11.0,0.0
84b258bffffffff,4.0,4.0,0.0
84b2591ffffffff,64.0,62.0,0.0
84b2595ffffffff,11.0,11.0,0.0
84b2599ffffffff,8.0,8.0,0.0
84b259bffffffff,2.0,2.0,0.0
84b25c9ffffffff,1.0,1.0,0.0
84b25cbffffffff,3.0,3.0,0.0
84b25cdffffffff,2.0,2.0,0.0
84b25d1ffffffff,4.0,2.0,2.0
84b25d3ffffffff,15.0,15.0,0.0
84b25d5ffffffff,27.0,25.0,2.0
84b25d7ffffffff,17.0,17.0,0.0
84b25d9ffffffff,1.0,0.0,1.0
84b25ddffffffff,6.0,6.0,0.0
84b25e3ffffffff,1.0,0.0,1.0
84b25e7ffffffff,2.0,0.0,2.0
84b2613ffffffff,10.0,10.0,0.0
84b262dffffffff,30.0,30.0,0.0
84b2661ffffffff,3.0,2.0,0.0
84b2687ffffffff,3.0,2.0,0.0
84b268bffffffff,8.0,8.0,0.0
84b268dffffffff,3.0,3.0,0.0
84b2691ffffffff,22.0,22.0,0.0
84b2695ffffffff,9.0,9.0,0.0
84b2697ffffffff,3.0,3.0,0.0
84b2699ffffffff,2.0,2.0,0.0
84b269dffffffff,13.0,13.0,0.0
84b26b1ffffffff,30.0,24.0,6.0
84b26b3ffffffff,18.0,18.0,0.0
84b26b9ffffffff,2.0,1.0,0.0
84b26bbffffffff,4.0,3.0,1.0
84b26bdffffffff,28.0,28.0,0.0
84b26d1ffffffff,5.0,5.0,0.0
84b26d7ffffffff,28.0,22.0,4.0
84b26dbffffffff,1.0,1.0,0.0
84b26ddffffffff,2.0,2.0,0.0
84b26e7ffffffff,2.0,2.0,0.0
84b2709ffffffff,2.0,2.0,0.0
84b270dffffffff,2.0,2.0,0.0
84b2715ffffffff,2.0,0.0,0.0
84b275bffffffff,54.0,51.0,3.0
84b2cddffffffff,2.0,0.0,0.0
84b2e91ffffffff,4.0,0.0,4.0
84b3423ffffffff,4.0,4.0,0.0
84b342bffffffff,2.0,0.0,2.0
84b34a5ffffffff,2.0,0.0,1.0
84b34b9ffffffff,4.0,0.0,4.0
84b34bdffffffff,8.0,0.0,8.0
84b34d9ffffffff,3.0,0.0,3.0
84b34dbffffffff,26.0,0.0,20.0
84b35b5ffffffff,2.0,0.0,0.0
84b35b9ffffffff,1.0,0.0,0.0
84b35d3ffffffff,1.0,0.0,1.0
84b35e9ffffffff,2.0,2.0,0.0
84b3629ffffffff,1.0,0.0,1.0
84b3663ffffffff,1.0,1.0,0.0
84b366dffffffff,1.0,0.0,1.0
84c2031ffffffff,9.0,9.0,0.0
84c2037ffffffff,24.0,24.0,0.0
84c2053ffffffff,2.0,2.0,0.0
84c205bffffffff,17.0,17.0,0.0
84c21d1ffffffff,60.0,60.0,0.0
84c21d9ffffffff,32.0,32.0,0.0
84c21ddffffffff,22.0,22.0,0.0
84c2213ffffffff,4.0,4.0,0.0
84c22a1ffffffff,2.0,2.0,0.0
84c22abffffffff,2.0,2.0,0.0
84c22adffffffff,14.0,14.0,0.0
84c22c5ffffffff,15.0,15.0,0.0
84c22e5ffffffff,2.0,2.0,0.0
84c22e9ffffffff,2.0,2.0,0.0
84c2883ffffffff,1.0,0.0,0.0
84c2c17ffffffff,2.0,0.0,2.0
84c2c19ffffffff,5.0,0.0,2.0
84c2c29ffffffff,3.0,3.0,0.0
84c2c53ffffffff,4.0,4.0,0.0
84c2c5bffffffff,7.0,7.0,0.0
84c2c63ffffffff,2.0,2.0,0.0
84c2c91ffffffff,14.0,14.0,0.0
84c2c93ffffffff,7.0,7.0,0.0
84c2c95ffffffff,1.0,1.0,0.0
84c2c97ffffffff,11.0,9.0,1.0
84c2c99ffffffff,26.0,26.0,0.0
