cell_id,Corypha kabalii,Corypha kabalii kabalii,Corypha kabalii malbranti
8382a0fffffffff,18.0,0.0,6.0
8382a5fffffffff,9.0,0.0,2.0
83838afffffffff,1.0,0.0,0.0
83838efffffffff,1.0,0.0,0.0
8383a3fffffffff,1.0,0.0,0.0
839646fffffffff,2.0,0.0,0.0
839673fffffffff,2.0,0.0,0.0
