cell_id,Corvus cornix,Corvus cornix [cornix Group],Corvus cornix capellanus
820127fffffffff,136.0,0.0,0.0
820137fffffffff,963.0,0.0,0.0
820807fffffffff,184.0,0.0,0.0
820817fffffffff,763.0,5.0,0.0
82081ffffffffff,37.0,0.0,0.0
82082ffffffffff,31.0,0.0,0.0
820837fffffffff,146.0,1.0,0.0
820887fffffffff,1819.0,0.0,0.0
82088ffffffffff,354.0,105.0,0.0
820897fffffffff,302.0,0.0,0.0
82089ffffffffff,3974.0,518.0,0.0
8208a7fffffffff,275.0,50.0,0.0
8208affffffffff,12.0,0.0,0.0
8208b7fffffffff,525.0,5.0,0.0
8208c7fffffffff,108.0,7.0,0.0
8208cffffffffff,353.0,12.0,0.0
8208d7fffffffff,421.0,26.0,0.0
8208dffffffffff,226.0,20.0,0.0
8208e7fffffffff,21.0,0.0,0.0
8208effffffffff,380.0,2.0,0.0
8208f7fffffffff,73.0,5.0,0.0
820937fffffffff,34.0,0.0,0.0
82094ffffffffff,77.0,0.0,0.0
82095ffffffffff,172.0,0.0,0.0
820987fffffffff,634.0,6.0,0.0
82098ffffffffff,281.0,4.0,0.0
820997fffffffff,840.0,0.0,0.0
82099ffffffffff,1329.0,164.0,0.0
8209a7fffffffff,836.0,0.0,0.0
8209affffffffff,82.0,0.0,0.0
820b97fffffffff,2.0,0.0,0.0
820bb7fffffffff,96.0,0.0,0.0
821017fffffffff,19.0,0.0,0.0
821027fffffffff,9.0,0.0,0.0
821037fffffffff,1.0,0.0,0.0
821087fffffffff,1.0,0.0,0.0
82108ffffffffff,2.0,0.0,0.0
82109ffffffffff,1.0,0.0,0.0
8210a7fffffffff,10.0,0.0,0.0
8210affffffffff,7.0,0.0,0.0
8210b7fffffffff,5.0,0.0,0.0
8210c7fffffffff,294.0,0.0,0.0
8210d7fffffffff,8.0,0.0,0.0
8210dffffffffff,53.0,0.0,0.0
8210effffffffff,2.0,0.0,0.0
8210f7fffffffff,38.0,9.0,0.0
821107fffffffff,1279.0,6.0,0.0
82110ffffffffff,7.0,0.0,0.0
821117fffffffff,78.0,0.0,0.0
821127fffffffff,400.0,39.0,0.0
82112ffffffffff,102.0,16.0,0.0
821137fffffffff,295.0,0.0,0.0
821147fffffffff,3.0,0.0,0.0
821157fffffffff,12.0,0.0,0.0
821167fffffffff,13.0,0.0,0.0
821177fffffffff,2.0,0.0,0.0
821187fffffffff,340.0,7.0,0.0
82118ffffffffff,578.0,45.0,0.0
821197fffffffff,2.0,0.0,0.0
82119ffffffffff,36.0,0.0,0.0
8211a7fffffffff,14.0,0.0,0.0
8211affffffffff,2306.0,113.0,0.0
8211b7fffffffff,30.0,0.0,0.0
821807fffffffff,814.0,0.0,0.0
82180ffffffffff,126.0,0.0,0.0
821827fffffffff,559.0,0.0,0.0
82182ffffffffff,4853.0,0.0,0.0
821847fffffffff,2.0,0.0,0.0
821907fffffffff,64.0,0.0,0.0
82190ffffffffff,2472.0,1.0,0.0
821927fffffffff,383.0,0.0,0.0
82192ffffffffff,906.0,0.0,0.0
821957fffffffff,1842.0,3.0,0.0
82195ffffffffff,1.0,0.0,0.0
821977fffffffff,27.0,0.0,0.0
821e07fffffffff,6615.0,177.0,0.0
821e0ffffffffff,2243.0,3.0,0.0
821e17fffffffff,2735.0,44.0,0.0
821e1ffffffffff,3945.0,44.0,0.0
821e27fffffffff,1035.0,6.0,0.0
821e2ffffffffff,431.0,0.0,0.0
821e37fffffffff,1783.0,14.0,0.0
821e47fffffffff,94.0,0.0,0.0
821e4ffffffffff,65.0,0.0,0.0
821e57fffffffff,346.0,0.0,0.0
821e5ffffffffff,1052.0,0.0,0.0
821e67fffffffff,466.0,0.0,0.0
821e6ffffffffff,297.0,0.0,0.0
821e77fffffffff,47.0,0.0,0.0
821e87fffffffff,1928.0,3.0,0.0
821e8ffffffffff,48.0,0.0,0.0
821e97fffffffff,152.0,0.0,0.0
821e9ffffffffff,190.0,2.0,0.0
821ea7fffffffff,1581.0,5.0,0.0
821eaffffffffff,628.0,13.0,0.0
821eb7fffffffff,732.0,25.0,0.0
821ec7fffffffff,3612.0,0.0,0.0
821ecffffffffff,6166.0,0.0,0.0
821ed7fffffffff,1196.0,0.0,0.0
821edffffffffff,2595.0,0.0,0.0
821ee7fffffffff,502.0,0.0,0.0
821eeffffffffff,766.0,0.0,0.0
821ef7fffffffff,762.0,1.0,0.0
821f07fffffffff,3231.0,463.0,0.0
821f0ffffffffff,483.0,0.0,0.0
821f17fffffffff,9.0,0.0,0.0
821f1ffffffffff,2858.0,39.0,0.0
821f27fffffffff,1450.0,208.0,0.0
821f2ffffffffff,2537.0,746.0,0.0
821f37fffffffff,506.0,184.0,0.0
821f47fffffffff,234.0,0.0,0.0
821f4ffffffffff,886.0,0.0,0.0
821f57fffffffff,1043.0,0.0,0.0
821f5ffffffffff,191.0,0.0,0.0
821f67fffffffff,519.0,2.0,0.0
821f6ffffffffff,71.0,0.0,0.0
821f77fffffffff,2210.0,2.0,0.0
821f8ffffffffff,45.0,0.0,0.0
821f9ffffffffff,1617.0,10.0,0.0
82200ffffffffff,5.0,0.0,0.0
822017fffffffff,8.0,0.0,0.0
82201ffffffffff,101.0,0.0,0.0
82202ffffffffff,3.0,0.0,0.0
822047fffffffff,4.0,0.0,0.0
82206ffffffffff,20.0,0.0,0.0
822087fffffffff,1.0,0.0,0.0
82208ffffffffff,1.0,0.0,0.0
8220a7fffffffff,18.0,0.0,0.0
8220affffffffff,36.0,0.0,0.0
8220b7fffffffff,23.0,0.0,0.0
