cell_id,Chlorospingus flavigularis,Chlorospingus flavigularis hypophaeus,Chlorospingus flavigularis flavigularis/marginatus
84660b7ffffffff,1.0,0.0,0.0
84660bbffffffff,12.0,0.0,0.0
84660c3ffffffff,1.0,0.0,0.0
8466183ffffffff,8.0,0.0,0.0
8466185ffffffff,4.0,0.0,0.0
8466187ffffffff,2.0,0.0,0.0
846618bffffffff,2.0,0.0,0.0
846618dffffffff,2.0,0.0,0.0
8466191ffffffff,1.0,0.0,0.0
8466193ffffffff,72.0,0.0,0.0
8466195ffffffff,5.0,0.0,0.0
8466197ffffffff,89.0,0.0,0.0
8466199ffffffff,5.0,0.0,0.0
846619dffffffff,1.0,0.0,0.0
84661a5ffffffff,1.0,0.0,0.0
84661b1ffffffff,609.0,0.0,79.0
84661b3ffffffff,8.0,0.0,0.0
84661b7ffffffff,12.0,0.0,0.0
84661b9ffffffff,4.0,0.0,0.0
84661bbffffffff,3.0,0.0,0.0
84661bdffffffff,14.0,0.0,0.0
84661c3ffffffff,1.0,0.0,0.0
84661d1ffffffff,910.0,0.0,0.0
84661d5ffffffff,38.0,0.0,0.0
84661d7ffffffff,2.0,0.0,0.0
84661ddffffffff,14.0,0.0,0.0
8466a01ffffffff,23.0,1.0,0.0
8466a05ffffffff,5.0,1.0,0.0
8466a5bffffffff,3.0,0.0,0.0
8466b5bffffffff,138.0,7.0,0.0
8466c0dffffffff,385.0,0.0,0.0
8466c21ffffffff,200.0,0.0,6.0
8466c25ffffffff,6.0,0.0,0.0
8466c27ffffffff,9.0,0.0,0.0
8466c29ffffffff,95.0,0.0,0.0
8466c2dffffffff,114.0,0.0,0.0
8466c47ffffffff,16.0,0.0,0.0
8466c4dffffffff,2.0,0.0,0.0
8466c61ffffffff,8.0,0.0,0.0
8466c63ffffffff,9.0,0.0,0.0
8466c67ffffffff,23.0,0.0,0.0
8466c69ffffffff,4.0,0.0,0.0
8466c6bffffffff,4.0,0.0,0.0
