cell_id,Enicurus leschenaulti,Enicurus leschenaulti sinensis/indicus,Enicurus leschenaulti frontalis/chaseni,Enicurus leschenaulti leschenaulti
8430911ffffffff,1.0,0.0,0.0,0.0
84309a5ffffffff,13.0,9.0,0.0,0.0
84309adffffffff,3.0,0.0,0.0,0.0
84309e1ffffffff,3.0,0.0,0.0,0.0
84309e3ffffffff,2.0,0.0,0.0,0.0
84309e5ffffffff,1.0,0.0,0.0,0.0
84309e7ffffffff,2.0,0.0,0.0,0.0
843c581ffffffff,4.0,0.0,0.0,0.0
843c5a1ffffffff,118.0,0.0,0.0,0.0
843c5adffffffff,23.0,0.0,0.0,0.0
843c5b1ffffffff,1.0,0.0,0.0,0.0
843c5bdffffffff,156.0,0.0,0.0,0.0
843c5cbffffffff,7.0,2.0,0.0,0.0
843cd8bffffffff,2.0,0.0,0.0,0.0
8440035ffffffff,4.0,0.0,0.0,0.0
8440049ffffffff,2.0,0.0,0.0,0.0
844004dffffffff,2.0,0.0,0.0,0.0
84400a3ffffffff,1.0,0.0,0.0,0.0
84400a5ffffffff,26.0,0.0,0.0,0.0
8440133ffffffff,5.0,5.0,0.0,0.0
8440135ffffffff,2.0,2.0,0.0,0.0
8440139ffffffff,3.0,2.0,0.0,0.0
844013bffffffff,2.0,2.0,0.0,0.0
8440197ffffffff,1.0,1.0,0.0,0.0
84401dbffffffff,1.0,0.0,0.0,0.0
844020bffffffff,3.0,0.0,0.0,0.0
8440257ffffffff,1.0,0.0,0.0,0.0
84402a3ffffffff,2.0,0.0,0.0,0.0
844030dffffffff,4.0,0.0,0.0,0.0
8440361ffffffff,3.0,0.0,0.0,0.0
8440369ffffffff,4.0,0.0,0.0,0.0
844036dffffffff,4.0,0.0,0.0,0.0
8440431ffffffff,1.0,0.0,0.0,0.0
8440439ffffffff,10.0,0.0,0.0,0.0
844043dffffffff,1.0,0.0,0.0,0.0
8440447ffffffff,3.0,0.0,0.0,0.0
844045dffffffff,2.0,0.0,0.0,0.0
84404c1ffffffff,1.0,0.0,0.0,0.0
84404c3ffffffff,4.0,3.0,0.0,0.0
84404c5ffffffff,19.0,1.0,0.0,0.0
84404c7ffffffff,9.0,0.0,0.0,0.0
84404cdffffffff,2.0,0.0,0.0,0.0
84404ddffffffff,114.0,13.0,0.0,0.0
84404e1ffffffff,1.0,0.0,0.0,0.0
84404edffffffff,2.0,0.0,0.0,0.0
8440527ffffffff,1.0,0.0,0.0,0.0
844052dffffffff,3.0,0.0,0.0,0.0
8440591ffffffff,6.0,0.0,0.0,0.0
844059bffffffff,1.0,1.0,0.0,0.0
84405cbffffffff,2.0,0.0,0.0,0.0
84405ddffffffff,1.0,0.0,0.0,0.0
8440609ffffffff,1.0,0.0,0.0,0.0
8440613ffffffff,1.0,1.0,0.0,0.0
844061bffffffff,1.0,0.0,0.0,0.0
8440651ffffffff,11.0,0.0,0.0,0.0
8440653ffffffff,2.0,0.0,0.0,0.0
84406b7ffffffff,30.0,9.0,0.0,0.0
8440717ffffffff,5.0,0.0,0.0,0.0
8440807ffffffff,1.0,0.0,0.0,0.0
8440899ffffffff,18.0,0.0,0.0,0.0
844089dffffffff,7.0,0.0,0.0,0.0
84408d3ffffffff,2.0,0.0,0.0,0.0
8440a2bffffffff,4.0,0.0,0.0,0.0
8440a65ffffffff,1.0,0.0,0.0,0.0
8440a89ffffffff,1.0,0.0,0.0,0.0
8440a8dffffffff,8.0,0.0,0.0,0.0
8440aadffffffff,1.0,0.0,0.0,0.0
8440ac5ffffffff,7.0,0.0,0.0,0.0
8440ac7ffffffff,1.0,0.0,0.0,0.0
8440b51ffffffff,10.0,0.0,0.0,0.0
8440b53ffffffff,59.0,0.0,0.0,0.0
8440c05ffffffff,2.0,2.0,0.0,0.0
8440c19ffffffff,1.0,1.0,0.0,0.0
8440c29ffffffff,1.0,0.0,0.0,0.0
8440c2dffffffff,7.0,2.0,0.0,0.0
8440c61ffffffff,4.0,3.0,0.0,0.0
8440c67ffffffff,3.0,2.0,0.0,0.0
8440c6bffffffff,2.0,0.0,0.0,0.0
8440c6dffffffff,40.0,10.0,0.0,0.0
8440e11ffffffff,10.0,2.0,0.0,0.0
8440e13ffffffff,55.0,10.0,0.0,0.0
8440e17ffffffff,4.0,0.0,0.0,0.0
8440e33ffffffff,2.0,0.0,0.0,0.0
8440e37ffffffff,14.0,2.0,0.0,0.0
8440e5bffffffff,1.0,0.0,0.0,0.0
8440ee5ffffffff,4.0,2.0,0.0,0.0
8440ee9ffffffff,3.0,0.0,0.0,0.0
8440eebffffffff,3.0,3.0,0.0,0.0
8440f6bffffffff,1.0,0.0,0.0,0.0
8441185ffffffff,4.0,0.0,0.0,0.0
844118dffffffff,3.0,0.0,0.0,0.0
8441193ffffffff,3.0,0.0,0.0,0.0
8441199ffffffff,4.0,0.0,0.0,0.0
84411a5ffffffff,3.0,0.0,0.0,0.0
84411adffffffff,4.0,0.0,0.0,0.0
84411b5ffffffff,8.0,0.0,0.0,0.0
84411bdffffffff,2.0,0.0,0.0,0.0
8441433ffffffff,1.0,0.0,0.0,0.0
844145bffffffff,1.0,0.0,0.0,0.0
8441485ffffffff,1.0,0.0,0.0,0.0
84414b3ffffffff,6.0,0.0,0.0,0.0
84414c3ffffffff,7.0,0.0,0.0,0.0
84414cbffffffff,2.0,0.0,0.0,0.0
8441593ffffffff,2.0,0.0,0.0,0.0
84415a9ffffffff,2.0,0.0,0.0,0.0
84415c3ffffffff,5.0,0.0,0.0,0.0
84415ddffffffff,2.0,0.0,0.0,0.0
84415e7ffffffff,1.0,0.0,0.0,0.0
84415edffffffff,2.0,0.0,0.0,0.0
8441617ffffffff,3.0,0.0,0.0,0.0
8441655ffffffff,1.0,0.0,0.0,0.0
844165bffffffff,3.0,0.0,0.0,0.0
8441701ffffffff,1.0,0.0,0.0,0.0
8441703ffffffff,2.0,0.0,0.0,0.0
8441709ffffffff,3.0,0.0,0.0,0.0
844170bffffffff,3.0,0.0,0.0,0.0
8441715ffffffff,8.0,0.0,0.0,0.0
8441719ffffffff,117.0,1.0,0.0,0.0
844184bffffffff,7.0,0.0,0.0,0.0
844184dffffffff,1.0,0.0,0.0,0.0
8441855ffffffff,83.0,20.0,0.0,0.0
8441859ffffffff,17.0,1.0,0.0,0.0
844186bffffffff,2.0,0.0,0.0,0.0
8441901ffffffff,1.0,1.0,0.0,0.0
8441907ffffffff,2.0,0.0,0.0,0.0
844190bffffffff,2.0,2.0,0.0,0.0
8441911ffffffff,41.0,8.0,0.0,0.0
8441919ffffffff,46.0,9.0,0.0,0.0
844191bffffffff,7.0,6.0,0.0,0.0
8441921ffffffff,48.0,8.0,0.0,0.0
8441925ffffffff,5.0,3.0,0.0,0.0
8441929ffffffff,3.0,2.0,0.0,0.0
844192bffffffff,8.0,6.0,0.0,0.0
844192dffffffff,10.0,8.0,0.0,0.0
844193bffffffff,1.0,0.0,0.0,0.0
8441945ffffffff,2.0,0.0,0.0,0.0
8441953ffffffff,1.0,0.0,0.0,0.0
8441959ffffffff,2.0,2.0,0.0,0.0
844195bffffffff,2.0,0.0,0.0,0.0
844195dffffffff,5.0,3.0,0.0,0.0
8441965ffffffff,2.0,2.0,0.0,0.0
8441967ffffffff,1.0,0.0,0.0,0.0
84419bbffffffff,3.0,0.0,0.0,0.0
8441a37ffffffff,2.0,1.0,0.0,0.0
8441a39ffffffff,2.0,2.0,0.0,0.0
8441a97ffffffff,4.0,0.0,0.0,0.0
8441ab3ffffffff,4.0,0.0,0.0,0.0
8441ad3ffffffff,1.0,0.0,0.0,0.0
8441aedffffffff,2.0,2.0,0.0,0.0
8441b31ffffffff,4.0,3.0,0.0,0.0
8441b35ffffffff,2.0,2.0,0.0,0.0
8441b37ffffffff,3.0,2.0,0.0,0.0
8441b3dffffffff,3.0,1.0,0.0,0.0
8441b53ffffffff,9.0,6.0,0.0,0.0
844b341ffffffff,4.0,3.0,0.0,0.0
844b351ffffffff,2.0,0.0,0.0,0.0
846416dffffffff,1.0,0.0,0.0,0.0
8464331ffffffff,1.0,0.0,0.0,0.0
846433dffffffff,2.0,0.0,0.0,0.0
8464343ffffffff,11.0,0.0,7.0,0.0
846480dffffffff,8.0,8.0,0.0,0.0
8464821ffffffff,2.0,0.0,0.0,0.0
8464825ffffffff,22.0,2.0,0.0,0.0
8464827ffffffff,7.0,5.0,0.0,0.0
846482bffffffff,288.0,80.0,0.0,0.0
846482dffffffff,3.0,0.0,0.0,0.0
846484bffffffff,3.0,0.0,0.0,0.0
8464911ffffffff,96.0,37.0,0.0,0.0
8464919ffffffff,2.0,0.0,0.0,0.0
846491bffffffff,3.0,3.0,0.0,0.0
8464921ffffffff,1.0,0.0,0.0,0.0
846494bffffffff,9.0,3.0,0.0,0.0
8464953ffffffff,2.0,0.0,0.0,0.0
8464983ffffffff,15.0,11.0,0.0,0.0
8464a15ffffffff,4.0,2.0,0.0,0.0
8464a31ffffffff,2.0,0.0,0.0,0.0
8464a35ffffffff,26.0,8.0,0.0,0.0
8464a39ffffffff,2.0,0.0,0.0,0.0
8464a3dffffffff,4.0,0.0,0.0,0.0
8464b03ffffffff,7.0,0.0,0.0,0.0
8464b55ffffffff,26.0,1.0,0.0,0.0
8464b57ffffffff,3.0,0.0,0.0,0.0
8464b5dffffffff,4.0,0.0,0.0,0.0
8465005ffffffff,18.0,0.0,0.0,0.0
8465009ffffffff,5.0,0.0,0.0,0.0
846500bffffffff,7.0,0.0,0.0,0.0
846500dffffffff,1.0,0.0,0.0,0.0
8465029ffffffff,5.0,0.0,0.0,0.0
846502bffffffff,13.0,0.0,0.0,0.0
8465039ffffffff,1.0,0.0,0.0,0.0
8465055ffffffff,5.0,0.0,0.0,0.0
846505dffffffff,5.0,0.0,0.0,0.0
8465063ffffffff,9.0,0.0,0.0,0.0
8465189ffffffff,1.0,0.0,1.0,0.0
84651c1ffffffff,4.0,0.0,0.0,0.0
84651cdffffffff,7.0,0.0,1.0,0.0
8465221ffffffff,2.0,0.0,0.0,0.0
8465223ffffffff,4.0,0.0,0.0,0.0
8465227ffffffff,2.0,0.0,0.0,0.0
8465229ffffffff,86.0,0.0,0.0,0.0
84652d9ffffffff,1.0,0.0,0.0,0.0
846589bffffffff,2.0,0.0,0.0,0.0
8465993ffffffff,74.0,22.0,0.0,0.0
846599bffffffff,2.0,0.0,0.0,0.0
8465b61ffffffff,3.0,0.0,0.0,0.0
8465b65ffffffff,2.0,0.0,0.0,0.0
8468025ffffffff,21.0,0.0,21.0,0.0
846811bffffffff,13.0,0.0,12.0,0.0
8468123ffffffff,3.0,0.0,3.0,0.0
8468185ffffffff,1.0,0.0,0.0,0.0
8468189ffffffff,5.0,0.0,5.0,0.0
846818bffffffff,3.0,0.0,3.0,0.0
846818dffffffff,204.0,4.0,149.0,0.0
846819dffffffff,9.0,0.0,7.0,0.0
84681c3ffffffff,22.0,0.0,17.0,0.0
84681c5ffffffff,23.0,0.0,21.0,0.0
84681c9ffffffff,1.0,0.0,0.0,0.0
84681d5ffffffff,2.0,0.0,1.0,0.0
84681e3ffffffff,2.0,0.0,0.0,0.0
84681edffffffff,9.0,0.0,4.0,0.0
8468985ffffffff,2.0,0.0,0.0,0.0
8468aa3ffffffff,1.0,0.0,1.0,0.0
8469345ffffffff,12.0,0.0,0.0,0.0
848c101ffffffff,77.0,0.0,0.0,36.0
848c103ffffffff,33.0,0.0,0.0,13.0
848c109ffffffff,2.0,0.0,0.0,2.0
848c13bffffffff,1.0,0.0,0.0,0.0
848c1a7ffffffff,4.0,0.0,0.0,0.0
848cd5dffffffff,4.0,0.0,0.0,0.0
848cf4dffffffff,2.0,0.0,0.0,0.0
848d84bffffffff,1.0,0.0,0.0,0.0
848d855ffffffff,2.0,0.0,0.0,2.0
848d8c1ffffffff,11.0,0.0,0.0,6.0
848d8cbffffffff,1.0,0.0,0.0,1.0
848da25ffffffff,2.0,0.0,0.0,0.0
848da2bffffffff,2.0,0.0,0.0,2.0
848da35ffffffff,3.0,0.0,0.0,3.0
848db53ffffffff,3.0,0.0,0.0,0.0
848db59ffffffff,108.0,0.0,0.0,46.0
848db5bffffffff,1.0,0.0,0.0,0.0
8495a49ffffffff,7.0,0.0,0.0,0.0
8495a4dffffffff,17.0,0.0,0.0,5.0
