cell_id,Melanopareia maximiliani,Melanopareia maximiliani maximiliani/argentina,Melanopareia maximiliani pallida
838b20fffffffff,88.0,0.0,0.0
838b21fffffffff,25.0,0.0,0.0
838b24fffffffff,3.0,0.0,0.0
838b25fffffffff,11.0,0.0,0.0
838b2cfffffffff,134.0,0.0,0.0
838b2dfffffffff,13.0,0.0,0.0
83a865fffffffff,15.0,0.0,0.0
83a86cfffffffff,2.0,0.0,0.0
83a86dfffffffff,1.0,0.0,0.0
83a94dfffffffff,2.0,0.0,0.0
83a969fffffffff,2.0,0.0,0.0
83a96afffffffff,5.0,0.0,0.0
83b240fffffffff,14.0,0.0,0.0
83b241fffffffff,306.0,0.0,0.0
83b242fffffffff,45.0,0.0,0.0
83b243fffffffff,166.0,0.0,0.0
83b244fffffffff,2.0,0.0,0.0
83b245fffffffff,9.0,0.0,0.0
83b246fffffffff,3.0,0.0,0.0
83b24cfffffffff,109.0,0.0,0.0
83b24efffffffff,42.0,0.0,0.0
83b251fffffffff,21.0,0.0,0.0
83b255fffffffff,4.0,0.0,0.0
83b258fffffffff,117.0,0.0,0.0
83b25afffffffff,4.0,0.0,0.0
83b25cfffffffff,234.0,0.0,0.0
83b25dfffffffff,40.0,0.0,0.0
83b25efffffffff,33.0,0.0,0.0
83b261fffffffff,6.0,0.0,0.0
83b262fffffffff,21.0,0.0,0.0
83b263fffffffff,15.0,0.0,0.0
83b264fffffffff,1.0,0.0,0.0
83b265fffffffff,3.0,0.0,0.0
83b266fffffffff,19.0,0.0,0.0
83b268fffffffff,4.0,0.0,0.0
83b26afffffffff,55.0,0.0,0.0
83b26efffffffff,16.0,0.0,0.0
83b270fffffffff,66.0,0.0,0.0
83b271fffffffff,1.0,0.0,0.0
83b274fffffffff,4.0,0.0,0.0
83b275fffffffff,25.0,0.0,0.0
83b321fffffffff,25.0,0.0,0.0
83b325fffffffff,1.0,0.0,0.0
83b32cfffffffff,4.0,0.0,0.0
83b342fffffffff,4.0,0.0,0.0
83b346fffffffff,9.0,0.0,0.0
83b349fffffffff,5.0,0.0,0.0
83b34bfffffffff,96.0,0.0,0.0
83b34cfffffffff,5.0,0.0,0.0
83b34dfffffffff,19.0,0.0,0.0
83b351fffffffff,41.0,0.0,0.0
83b358fffffffff,23.0,0.0,0.0
83b35afffffffff,9.0,0.0,0.0
83b35bfffffffff,6.0,0.0,0.0
83b35cfffffffff,91.0,0.0,0.0
83b35dfffffffff,12.0,0.0,0.0
83b35efffffffff,62.0,0.0,0.0
83b366fffffffff,1.0,0.0,0.0
83b368fffffffff,8.0,0.0,0.0
83b369fffffffff,18.0,0.0,0.0
83b36dfffffffff,108.0,0.0,0.0
83b371fffffffff,1.0,0.0,0.0
83b373fffffffff,5.0,0.0,0.0
