cell_id,Cisticola subruficapilla,Cisticola subruficapilla newtoni,Cisticola subruficapilla [subruficapilla Group],Cisticola subruficapilla jamesi
828327fffffffff,3.0,0.0,0.0,0.0
82ac8ffffffffff,1.0,0.0,0.0,0.0
82ac97fffffffff,2.0,0.0,0.0,0.0
82aca7fffffffff,24.0,0.0,0.0,0.0
82ad17fffffffff,19.0,0.0,0.0,0.0
82ad37fffffffff,1218.0,0.0,336.0,0.0
82ad87fffffffff,2.0,0.0,0.0,0.0
82ad8ffffffffff,6.0,0.0,0.0,0.0
82ada7fffffffff,53.0,0.0,0.0,0.0
82adaffffffffff,22.0,0.0,1.0,0.0
82adb7fffffffff,2.0,0.0,0.0,0.0
82bc47fffffffff,116.0,0.0,18.0,0.0
82bc4ffffffffff,329.0,0.0,40.0,0.0
82bc57fffffffff,21.0,0.0,0.0,0.0
82bc5ffffffffff,3.0,0.0,0.0,0.0
82bc6ffffffffff,919.0,0.0,230.0,0.0
82bc77fffffffff,19.0,0.0,0.0,0.0
82bce7fffffffff,1.0,0.0,0.0,0.0
82bceffffffffff,7.0,0.0,0.0,0.0
