cell_id,Myadestes ralloides,Myadestes ralloides plumbeiceps,Myadestes ralloides venezuelensis/candelae,Myadestes ralloides ralloides
8466083ffffffff,20.0,0.0,0.0,0.0
8466085ffffffff,4.0,0.0,0.0,0.0
8466087ffffffff,23.0,0.0,0.0,0.0
8466089ffffffff,90.0,0.0,0.0,0.0
846608dffffffff,60.0,0.0,2.0,0.0
8466091ffffffff,2.0,0.0,0.0,0.0
8466097ffffffff,1.0,0.0,0.0,0.0
84660a3ffffffff,1.0,0.0,0.0,0.0
84660b3ffffffff,50.0,0.0,0.0,0.0
84660b5ffffffff,6.0,0.0,0.0,0.0
84660b7ffffffff,29.0,0.0,0.0,0.0
84660b9ffffffff,85.0,0.0,0.0,0.0
84660bbffffffff,28.0,0.0,0.0,0.0
84660bdffffffff,226.0,0.0,0.0,0.0
84660c1ffffffff,35.0,0.0,0.0,0.0
84660c3ffffffff,38.0,0.0,0.0,0.0
84660c7ffffffff,1.0,0.0,0.0,0.0
84660cbffffffff,17.0,0.0,0.0,0.0
84660ddffffffff,62.0,0.0,0.0,0.0
8466181ffffffff,130.0,4.0,0.0,0.0
8466183ffffffff,791.0,0.0,0.0,0.0
8466185ffffffff,8.0,0.0,0.0,0.0
8466187ffffffff,34.0,0.0,0.0,0.0
8466189ffffffff,16.0,0.0,0.0,0.0
846618bffffffff,87.0,0.0,0.0,0.0
846618dffffffff,19.0,0.0,0.0,0.0
8466191ffffffff,37.0,0.0,0.0,0.0
8466193ffffffff,165.0,0.0,0.0,0.0
8466195ffffffff,95.0,0.0,0.0,0.0
8466197ffffffff,662.0,0.0,0.0,0.0
8466199ffffffff,15.0,0.0,0.0,0.0
846619dffffffff,445.0,0.0,0.0,0.0
84661b1ffffffff,1794.0,0.0,0.0,0.0
84661b3ffffffff,510.0,2.0,0.0,0.0
84661b7ffffffff,49.0,0.0,0.0,0.0
84661b9ffffffff,1085.0,0.0,0.0,0.0
84661bbffffffff,1615.0,6.0,0.0,0.0
84661bdffffffff,22.0,0.0,0.0,0.0
84661c3ffffffff,8.0,0.0,0.0,0.0
84661d1ffffffff,268.0,0.0,0.0,0.0
84661d3ffffffff,2.0,0.0,0.0,0.0
84661d5ffffffff,61.0,0.0,0.0,0.0
84661d7ffffffff,17.0,0.0,0.0,0.0
84661ddffffffff,3.0,0.0,0.0,0.0
8466211ffffffff,4.0,0.0,0.0,0.0
8466213ffffffff,3.0,0.0,0.0,0.0
8466217ffffffff,82.0,0.0,0.0,0.0
8466291ffffffff,67.0,0.0,4.0,0.0
8466299ffffffff,10.0,0.0,2.0,0.0
846629dffffffff,47.0,0.0,3.0,0.0
84662b1ffffffff,20.0,0.0,0.0,0.0
84662b7ffffffff,3.0,0.0,0.0,0.0
84662e9ffffffff,10.0,0.0,0.0,0.0
8466c0dffffffff,192.0,0.0,0.0,0.0
8466c21ffffffff,208.0,0.0,0.0,0.0
8466c25ffffffff,52.0,0.0,0.0,0.0
8466c29ffffffff,31.0,0.0,0.0,0.0
8466c2dffffffff,78.0,0.0,0.0,0.0
8466c41ffffffff,4.0,0.0,0.0,0.0
8466c45ffffffff,10.0,0.0,0.0,0.0
8466c47ffffffff,87.0,0.0,0.0,0.0
8466c49ffffffff,23.0,0.0,0.0,0.0
8466c4bffffffff,12.0,0.0,0.0,0.0
8466c4dffffffff,17.0,0.0,0.0,0.0
8466c5dffffffff,2.0,0.0,0.0,0.0
8466c61ffffffff,40.0,0.0,0.0,0.0
8466c63ffffffff,224.0,0.0,0.0,0.0
8466c65ffffffff,22.0,0.0,0.0,0.0
8466c67ffffffff,100.0,0.0,0.0,0.0
8466c69ffffffff,39.0,0.0,0.0,0.0
8466c6bffffffff,77.0,0.0,0.0,0.0
8466c6dffffffff,741.0,0.0,0.0,0.0
8466d03ffffffff,134.0,0.0,0.0,0.0
8466d07ffffffff,2.0,0.0,0.0,0.0
8466d0bffffffff,1544.0,0.0,0.0,0.0
8466d11ffffffff,14.0,0.0,0.0,0.0
8466d15ffffffff,2.0,0.0,0.0,0.0
8466d19ffffffff,12.0,0.0,0.0,0.0
8466d1dffffffff,12.0,0.0,0.0,0.0
8466d31ffffffff,3841.0,229.0,0.0,0.0
8466d35ffffffff,162.0,14.0,0.0,0.0
8466d37ffffffff,104.0,0.0,0.0,0.0
