cell_id,Patagioenas maculosa,Patagioenas maculosa albipennis,Patagioenas maculosa maculosa
828b27fffffffff,108.0,3.0,0.0
828b2ffffffffff,54.0,6.0,0.0
828b67fffffffff,3282.0,203.0,0.0
828b6ffffffffff,257.0,4.0,0.0
828e67fffffffff,441.0,0.0,0.0
828e6ffffffffff,239.0,0.0,0.0
828f5ffffffffff,16.0,0.0,0.0
82a907fffffffff,6.0,0.0,0.0
82a90ffffffffff,1.0,0.0,0.0
82a91ffffffffff,1.0,0.0,0.0
82a927fffffffff,17.0,0.0,0.0
82a92ffffffffff,935.0,0.0,11.0
82a947fffffffff,298.0,0.0,0.0
82a94ffffffffff,68.0,0.0,0.0
82a95ffffffffff,1.0,0.0,0.0
82a967fffffffff,1535.0,0.0,29.0
82a96ffffffffff,106.0,0.0,0.0
82a977fffffffff,203.0,0.0,0.0
82b20ffffffffff,174.0,0.0,0.0
82b22ffffffffff,13.0,0.0,0.0
82b247fffffffff,2716.0,0.0,0.0
82b24ffffffffff,1746.0,0.0,0.0
82b257fffffffff,220.0,0.0,0.0
82b25ffffffffff,4322.0,0.0,0.0
82b267fffffffff,1087.0,0.0,0.0
82b26ffffffffff,361.0,0.0,0.0
82b277fffffffff,458.0,0.0,0.0
82b2cffffffffff,73.0,0.0,0.0
82b2e7fffffffff,179.0,0.0,0.0
82b2effffffffff,1555.0,0.0,0.0
82b307fffffffff,1712.0,199.0,0.0
82b30ffffffffff,7.0,0.0,0.0
82b327fffffffff,928.0,18.0,0.0
82b32ffffffffff,108.0,4.0,0.0
82b337fffffffff,218.0,0.0,0.0
82b347fffffffff,76.0,0.0,0.0
82b34ffffffffff,204.0,0.0,0.0
82b357fffffffff,77.0,10.0,0.0
82b35ffffffffff,410.0,0.0,0.0
82b367fffffffff,11.0,4.0,0.0
82b36ffffffffff,48.0,0.0,0.0
82b377fffffffff,408.0,138.0,0.0
82c207fffffffff,238.0,0.0,0.0
82c21ffffffffff,933.0,0.0,0.0
82c227fffffffff,83.0,0.0,0.0
82c22ffffffffff,614.0,0.0,3.0
82c2c7fffffffff,2683.0,0.0,4.0
82c2cffffffffff,2158.0,0.0,0.0
82c2d7fffffffff,849.0,0.0,0.0
82c2dffffffffff,205.0,0.0,0.0
82c2e7fffffffff,2959.0,0.0,0.0
82c2effffffffff,535.0,0.0,0.0
82c2f7fffffffff,2238.0,0.0,7.0
82c30ffffffffff,67.0,0.0,0.0
82c32ffffffffff,529.0,0.0,6.0
82c347fffffffff,602.0,0.0,0.0
82c34ffffffffff,440.0,0.0,0.0
82c357fffffffff,554.0,0.0,3.0
82c35ffffffffff,68.0,0.0,0.0
82c367fffffffff,361.0,0.0,0.0
82c36ffffffffff,86.0,0.0,0.0
82c377fffffffff,423.0,0.0,0.0
82ce87fffffffff,4.0,0.0,0.0
82ce97fffffffff,778.0,0.0,0.0
82ce9ffffffffff,8.0,0.0,0.0
