cell_id,Rhipidura albiscapa,Rhipidura albiscapa [pelzelni Group],Rhipidura albiscapa keasti,Rhipidura albiscapa alisteri,Rhipidura albiscapa albiscapa,Rhipidura albiscapa preissi,Rhipidura albiscapa albicauda
8494187ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84941bdffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8494511ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
849451dffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
849453bffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
84945c3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84945c7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84945ebffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8494803ffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0
8494807ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849480bffffffff,57.0,0.0,0.0,41.0,0.0,0.0,0.0
849481dffffffff,6.0,0.0,0.0,2.0,0.0,0.0,0.0
849485bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8494899ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8494aa7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8494c49ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8494e27ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8494e29ffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
8494ed3ffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0
8494ed7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8494ee1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8494f21ffffffff,6.0,0.0,0.0,2.0,0.0,0.0,0.0
8494f4bffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
8494f61ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8494f65ffffffff,4.0,0.0,0.0,2.0,0.0,0.0,0.0
8494f6bffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
849c003ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849c009ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
849c00bffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
849c011ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
849c017ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
849c019ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
849c01dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849c051ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849c055ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849c059ffffffff,92.0,0.0,1.0,0.0,0.0,0.0,0.0
849c05dffffffff,51.0,0.0,4.0,0.0,0.0,0.0,0.0
849c0c5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849c0e1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849c0e7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
849c0e9ffffffff,29.0,0.0,0.0,0.0,0.0,0.0,0.0
849c0edffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
849c191ffffffff,33.0,0.0,0.0,0.0,0.0,0.0,0.0
849c203ffffffff,22.0,0.0,3.0,0.0,0.0,0.0,0.0
849c207ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
849c20bffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
849c211ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849c215ffffffff,713.0,0.0,103.0,0.0,0.0,0.0,0.0
849c217ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849c21bffffffff,17.0,0.0,1.0,0.0,0.0,0.0,0.0
849c21dffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
849c231ffffffff,296.0,0.0,13.0,0.0,0.0,0.0,0.0
849c233ffffffff,89.0,0.0,1.0,0.0,0.0,0.0,0.0
849c237ffffffff,1314.0,0.0,242.0,0.0,0.0,0.0,0.0
849c239ffffffff,588.0,0.0,66.0,0.0,0.0,0.0,0.0
849c23bffffffff,253.0,0.0,29.0,0.0,0.0,0.0,0.0
849c251ffffffff,26.0,0.0,2.0,0.0,0.0,0.0,0.0
849c255ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849c257ffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
849c259ffffffff,173.0,0.0,13.0,0.0,0.0,0.0,0.0
849c25dffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
849c2c1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849c2c9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
849c2cdffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0
849c2ddffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0
849c2e1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
849c403ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849c415ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849c417ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
849c43bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849c4b3ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
849c605ffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0
849c62dffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
849c649ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849c663ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
849c6e9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849c741ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
849c743ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
849c747ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849c753ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
849ce47ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849cf53ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849d013ffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0
849d01bffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0
849d097ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
849d0abffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0
849d0b1ffffffff,94.0,0.0,1.0,0.0,0.0,0.0,0.0
849d0b3ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
849d0b5ffffffff,114.0,0.0,6.0,0.0,0.0,0.0,0.0
849d0b7ffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0
849d0b9ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
849d0bbffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
849d0bdffffffff,59.0,0.0,1.0,0.0,0.0,0.0,0.0
849d0c1ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
849d0c5ffffffff,62.0,0.0,0.0,0.0,0.0,0.0,0.0
849d0c9ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
849d0cdffffffff,239.0,0.0,0.0,0.0,0.0,0.0,0.0
849d0dbffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
849d0e1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849d0e3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
849d0e9ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
849d0ebffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849d211ffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0
849d213ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
849d215ffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
849d217ffffffff,35.0,0.0,0.0,0.0,0.0,0.0,0.0
849d21dffffffff,83.0,0.0,0.0,0.0,0.0,0.0,0.0
849d233ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
849d23bffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0
849d24bffffffff,72.0,0.0,0.0,12.0,0.0,0.0,0.0
849d251ffffffff,12.0,0.0,0.0,1.0,0.0,0.0,0.0
849d253ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
849d255ffffffff,14.0,0.0,0.0,4.0,0.0,0.0,0.0
849d257ffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
849d259ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
849d25bffffffff,18.0,0.0,0.0,2.0,0.0,0.0,0.0
849d289ffffffff,6.0,0.0,2.0,0.0,0.0,0.0,0.0
849d28bffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0
849d28dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849d29dffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
849d2a1ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
849d2a5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849d2a7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849d2adffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
849d2bdffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849d2c3ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
849d2c7ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
849d2c9ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
849d2d1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
849d2e1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849d2e7ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
849d443ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
849d447ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
849d44bffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
849d46bffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
849d4a1ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
849d4a3ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
849d4abffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
849d531ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
849d537ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
849d541ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
849d545ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849d565ffffffff,8.0,0.0,2.0,0.0,0.0,0.0,0.0
849d5b7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
849d5dbffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
849d601ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
849d625ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849d63dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849d657ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
849d661ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
849d66dffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
849d685ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
849d68bffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
849d6a9ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
849d6d1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849d6d9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849d6dbffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
849d72dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
849d741ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
849d75dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849d761ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849d76dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849e021ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
849e025ffffffff,28.0,0.0,0.0,0.0,0.0,0.0,0.0
849e02dffffffff,30.0,0.0,0.0,0.0,0.0,0.0,0.0
849e061ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
849e067ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
849e06dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
849e103ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849e113ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849e119ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849e13dffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
849e153ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
849e225ffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
849e227ffffffff,40.0,0.0,0.0,0.0,0.0,0.0,0.0
