cell_id,Aerospiza tachiro,Aerospiza tachiro macroscelides,Aerospiza tachiro toussenelii/canescens,Aerospiza tachiro lopezi,Aerospiza tachiro unduliventer/croizati,Aerospiza tachiro sparsimfasciata,Aerospiza tachiro pembaensis,Aerospiza tachiro tachiro
84529b5ffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
847a41dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
847a4c1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
847a4ddffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
847a4e3ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
847a603ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
847a609ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
847a613ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
847a617ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
847a631ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
847a635ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
847a657ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
847a6adffffffff,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
847a6e5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
847acb5ffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
847b4adffffffff,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
847b4c7ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
847b4c9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
847b4cbffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
847b4e7ffffffff,14.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
8482f23ffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8497103ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8497139ffffffff,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
84971c3ffffffff,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
84ad361ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84bc1bbffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84bcd29ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84bcf29ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84bcf47ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84bcf63ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
