cell_id,Pterodroma feae,Pterodroma feae feae,Pterodroma feae deserta
831805fffffffff,17.0,0.0,0.0
83180cfffffffff,1.0,0.0,0.0
831823fffffffff,1.0,0.0,0.0
831855fffffffff,2.0,0.0,0.0
83185bfffffffff,1.0,0.0,0.0
831870fffffffff,4.0,0.0,1.0
831872fffffffff,3.0,0.0,0.0
831876fffffffff,1.0,0.0,0.0
831973fffffffff,5.0,0.0,0.0
831976fffffffff,1.0,0.0,0.0
831ab1fffffffff,2.0,0.0,0.0
832a1cfffffffff,7.0,0.0,0.0
832a31fffffffff,3.0,0.0,0.0
832a89fffffffff,1.0,0.0,0.0
832ac6fffffffff,299.0,1.0,6.0
832af1fffffffff,18.0,0.0,0.0
83344dfffffffff,1.0,0.0,0.0
833458fffffffff,1.0,0.0,0.0
833460fffffffff,1.0,0.0,1.0
83346dfffffffff,1.0,0.0,0.0
833925fffffffff,7.0,0.0,6.0
8344a1fffffffff,5.0,0.0,0.0
8344d6fffffffff,7.0,0.0,0.0
835592fffffffff,1.0,0.0,0.0
835593fffffffff,1.0,0.0,0.0
