cell_id,Argya striata,Argya striata [striata Group],Argya striata somervillei
823c07fffffffff,21.0,4.0,0.0
823c0ffffffffff,4.0,0.0,0.0
823c17fffffffff,16.0,12.0,0.0
823c1ffffffffff,36.0,0.0,0.0
823c57fffffffff,1.0,0.0,0.0
823c8ffffffffff,7.0,0.0,0.0
823caffffffffff,16.0,3.0,0.0
823cb7fffffffff,18.0,18.0,0.0
823ce7fffffffff,16.0,2.0,0.0
823cf7fffffffff,56.0,0.0,0.0
823d17fffffffff,53.0,0.0,0.0
823d1ffffffffff,6.0,0.0,0.0
823d87fffffffff,6.0,0.0,0.0
823d8ffffffffff,6.0,0.0,0.0
823d9ffffffffff,2.0,2.0,0.0
823da7fffffffff,7.0,5.0,0.0
823daffffffffff,35.0,2.0,0.0
823db7fffffffff,3.0,0.0,0.0
8242c7fffffffff,64.0,0.0,0.0
8242cffffffffff,7.0,1.0,0.0
8242dffffffffff,9.0,0.0,7.0
8242e7fffffffff,2.0,0.0,0.0
8242effffffffff,7.0,1.0,0.0
826007fffffffff,47.0,0.0,0.0
826017fffffffff,873.0,7.0,0.0
82601ffffffffff,4.0,0.0,0.0
826027fffffffff,52.0,0.0,0.0
826037fffffffff,1641.0,0.0,0.0
826087fffffffff,18.0,0.0,0.0
82608ffffffffff,215.0,0.0,199.0
826097fffffffff,7.0,6.0,0.0
82609ffffffffff,17.0,0.0,13.0
8260a7fffffffff,280.0,0.0,0.0
8260affffffffff,1195.0,0.0,28.0
8260b7fffffffff,631.0,0.0,0.0
82618ffffffffff,107.0,0.0,0.0
82619ffffffffff,4.0,0.0,0.0
