cell_id,Hylophilus thoracicus,Hylophilus thoracicus griseiventris/aemulus,Hylophilus thoracicus thoracicus
835f01fffffffff,1.0,1.0,0.0
835f14fffffffff,1.0,0.0,0.0
836641fffffffff,49.0,0.0,0.0
8366d1fffffffff,2.0,0.0,0.0
8366dcfffffffff,2.0,0.0,0.0
8366defffffffff,2.0,0.0,0.0
8366ecfffffffff,10.0,5.0,0.0
838134fffffffff,1.0,0.0,0.0
838b5cfffffffff,3.0,3.0,0.0
838b71fffffffff,1.0,1.0,0.0
838b75fffffffff,6.0,0.0,0.0
838f72fffffffff,1.0,0.0,0.0
83a812fffffffff,79.0,0.0,4.0
83a8a5fffffffff,62.0,0.0,11.0
