cell_id,Monticola sharpei,Monticola sharpei sharpei,Monticola sharpei bensoni
83a210fffffffff,1.0,1.0,0.0
83a214fffffffff,199.0,106.0,0.0
83a215fffffffff,4.0,4.0,0.0
83a216fffffffff,6.0,0.0,1.0
83a222fffffffff,29.0,14.0,0.0
83a230fffffffff,3.0,0.0,2.0
83a231fffffffff,47.0,28.0,0.0
83a233fffffffff,1.0,0.0,0.0
83a2a1fffffffff,2.0,0.0,0.0
83a2a4fffffffff,4.0,0.0,3.0
83a2a6fffffffff,1.0,0.0,0.0
83a2aefffffffff,5.0,1.0,1.0
83a308fffffffff,11.0,6.0,0.0
83a309fffffffff,6.0,0.0,0.0
83a356fffffffff,1.0,0.0,0.0
83a389fffffffff,1.0,0.0,0.0
83a38bfffffffff,236.0,8.0,168.0
83a38cfffffffff,1.0,0.0,1.0
83a399fffffffff,3.0,0.0,0.0
83a3a9fffffffff,6.0,1.0,0.0
83a3abfffffffff,4.0,3.0,0.0
