cell_id,Gallinula galeata,Gallinula galeata [galeata Group],Gallinula galeata garmani,Gallinula galeata sandvicensis
840eca7ffffffff,2.0,0.0,0.0,0.0
841aa07ffffffff,31.0,3.0,0.0,0.0
8426017ffffffff,3.0,0.0,0.0,0.0
842603dffffffff,3.0,0.0,0.0,0.0
8426085ffffffff,4.0,0.0,0.0,0.0
8426099ffffffff,2.0,0.0,0.0,0.0
84260a1ffffffff,10.0,0.0,0.0,0.0
84260b3ffffffff,1.0,0.0,0.0,0.0
84260b9ffffffff,18.0,1.0,0.0,0.0
8426117ffffffff,2.0,0.0,0.0,0.0
8426191ffffffff,2.0,0.0,0.0,0.0
8426199ffffffff,4.0,0.0,0.0,0.0
8426203ffffffff,9.0,0.0,0.0,0.0
8426205ffffffff,5.0,0.0,0.0,0.0
8426207ffffffff,5.0,0.0,0.0,0.0
842620bffffffff,2.0,0.0,0.0,0.0
842620dffffffff,7.0,0.0,0.0,0.0
8426213ffffffff,4.0,0.0,0.0,0.0
8426219ffffffff,22.0,1.0,0.0,0.0
842621dffffffff,3.0,0.0,0.0,0.0
8426227ffffffff,7.0,0.0,0.0,0.0
842622bffffffff,4.0,0.0,0.0,0.0
8426237ffffffff,11.0,0.0,0.0,0.0
8426245ffffffff,4.0,0.0,0.0,0.0
842628dffffffff,7.0,0.0,0.0,0.0
84262a1ffffffff,2.0,0.0,0.0,0.0
84262c1ffffffff,8.0,0.0,0.0,0.0
84262c3ffffffff,3.0,0.0,0.0,0.0
84262c7ffffffff,9.0,0.0,0.0,0.0
84262c9ffffffff,68.0,2.0,0.0,0.0
84262cdffffffff,22.0,0.0,0.0,0.0
84262d9ffffffff,6.0,0.0,0.0,0.0
84262ddffffffff,1.0,0.0,0.0,0.0
84262e1ffffffff,27.0,0.0,0.0,0.0
84262e5ffffffff,1.0,0.0,0.0,0.0
84262e7ffffffff,2.0,1.0,0.0,0.0
84262e9ffffffff,25.0,0.0,0.0,0.0
8426353ffffffff,4.0,0.0,0.0,0.0
8426405ffffffff,15.0,0.0,0.0,0.0
842640dffffffff,11.0,0.0,0.0,0.0
8426417ffffffff,3.0,3.0,0.0,0.0
8426437ffffffff,2.0,0.0,0.0,0.0
8426461ffffffff,3.0,0.0,0.0,0.0
8426463ffffffff,2.0,0.0,0.0,0.0
8426481ffffffff,5.0,0.0,0.0,0.0
8426489ffffffff,9.0,0.0,0.0,0.0
8426491ffffffff,2.0,0.0,0.0,0.0
8426493ffffffff,85.0,0.0,0.0,0.0
8426495ffffffff,4.0,0.0,0.0,0.0
84264b9ffffffff,1.0,0.0,0.0,0.0
84264cbffffffff,2.0,0.0,0.0,0.0
84264e5ffffffff,14.0,0.0,0.0,0.0
8426515ffffffff,2.0,0.0,0.0,0.0
8426521ffffffff,7.0,0.0,0.0,0.0
8426531ffffffff,2.0,0.0,0.0,0.0
8426533ffffffff,2.0,0.0,0.0,0.0
8426555ffffffff,11.0,0.0,0.0,0.0
8426567ffffffff,4.0,0.0,0.0,0.0
842659bffffffff,3.0,0.0,0.0,0.0
84265d9ffffffff,1.0,0.0,0.0,0.0
842661bffffffff,4.0,0.0,0.0,0.0
8426629ffffffff,9.0,0.0,0.0,0.0
842662dffffffff,2.0,0.0,0.0,0.0
8426631ffffffff,2.0,0.0,0.0,0.0
8426641ffffffff,125.0,0.0,0.0,0.0
8426645ffffffff,22.0,0.0,0.0,0.0
8426649ffffffff,8.0,0.0,0.0,0.0
842664bffffffff,2.0,0.0,0.0,0.0
842664dffffffff,6.0,0.0,0.0,0.0
8426665ffffffff,36.0,0.0,0.0,0.0
8426669ffffffff,49.0,0.0,0.0,0.0
842666bffffffff,4.0,0.0,0.0,0.0
8426683ffffffff,4.0,0.0,0.0,0.0
8426697ffffffff,2.0,0.0,0.0,0.0
84266a7ffffffff,3.0,0.0,0.0,0.0
84266b1ffffffff,6.0,0.0,0.0,0.0
84266b5ffffffff,5.0,0.0,0.0,0.0
84266e1ffffffff,21.0,0.0,0.0,0.0
8426719ffffffff,30.0,0.0,0.0,0.0
8426889ffffffff,70.0,0.0,0.0,0.0
8426899ffffffff,1.0,0.0,0.0,0.0
8426929ffffffff,2.0,0.0,0.0,0.0
8426aa5ffffffff,27.0,0.0,0.0,0.0
8426aadffffffff,66.0,0.0,0.0,0.0
8426c89ffffffff,22.0,0.0,0.0,0.0
8426c91ffffffff,2.0,0.0,0.0,0.0
8426cb9ffffffff,69.0,0.0,0.0,0.0
8426cbdffffffff,2.0,0.0,0.0,0.0
8426cd1ffffffff,2.0,0.0,0.0,0.0
8426ce3ffffffff,3.0,0.0,0.0,0.0
8426d81ffffffff,2.0,0.0,0.0,0.0
8426d95ffffffff,9.0,0.0,0.0,0.0
8426d99ffffffff,2.0,0.0,0.0,0.0
8426d9dffffffff,1.0,0.0,0.0,0.0
8426dadffffffff,1.0,0.0,0.0,0.0
8426de7ffffffff,2.0,0.0,0.0,0.0
8426de9ffffffff,2.0,0.0,0.0,0.0
8426e1bffffffff,2.0,0.0,0.0,0.0
8426e21ffffffff,4.0,0.0,0.0,0.0
8426e2dffffffff,4.0,0.0,0.0,0.0
8426e33ffffffff,1.0,0.0,0.0,0.0
8426e3dffffffff,2.0,0.0,0.0,0.0
8426e51ffffffff,2.0,0.0,0.0,0.0
8426e5bffffffff,36.0,3.0,0.0,0.0
8426e5dffffffff,4.0,0.0,0.0,0.0
8426ecdffffffff,5.0,0.0,0.0,0.0
8427119ffffffff,2.0,0.0,0.0,0.0
8427411ffffffff,49.0,0.0,0.0,0.0
8427419ffffffff,9.0,0.0,0.0,0.0
842741dffffffff,10.0,0.0,0.0,0.0
8427435ffffffff,63.0,0.0,0.0,0.0
8427437ffffffff,15.0,0.0,0.0,0.0
842743dffffffff,3.0,0.0,0.0,0.0
8427453ffffffff,10.0,0.0,0.0,0.0
8427481ffffffff,11.0,0.0,0.0,0.0
8427483ffffffff,16.0,0.0,0.0,0.0
8427485ffffffff,34.0,0.0,0.0,0.0
842748dffffffff,9.0,0.0,0.0,0.0
8427491ffffffff,14.0,0.0,0.0,0.0
8427497ffffffff,12.0,0.0,0.0,0.0
8427499ffffffff,42.0,0.0,0.0,0.0
842749dffffffff,2.0,0.0,0.0,0.0
84274a3ffffffff,10.0,0.0,0.0,0.0
84274abffffffff,2.0,0.0,0.0,0.0
84274b9ffffffff,39.0,0.0,0.0,0.0
84274bbffffffff,4.0,0.0,0.0,0.0
84274bdffffffff,8.0,0.0,0.0,0.0
84274c1ffffffff,9.0,0.0,0.0,0.0
84274cbffffffff,2.0,0.0,0.0,0.0
84274d3ffffffff,13.0,0.0,0.0,0.0
