cell_id,Regulus regulus,Regulus regulus [regulus Group],Regulus regulus ellenthalerae,Regulus regulus teneriffae,Regulus regulus azoricus,Regulus regulus sanctaemariae,Regulus regulus inermis,Regulus regulus [himalayensis Group]
830741fffffffff,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830743fffffffff,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830744fffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830745fffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830746fffffffff,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83074efffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830758fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83075cfffffffff,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83075dfffffffff,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83075efffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830762fffffffff,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830763fffffffff,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830771fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830773fffffffff,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830775fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830802fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830806fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830810fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830811fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830812fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830813fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830814fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830815fffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830816fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830819fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83081dfffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83081efffffffff,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830829fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830832fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830833fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830836fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830880fffffffff,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830882fffffffff,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830883fffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830884fffffffff,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830885fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830886fffffffff,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830888fffffffff,65.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
83088afffffffff,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
83088bfffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83088dfffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83088efffffffff,41.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
830890fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830893fffffffff,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830895fffffffff,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830896fffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830898fffffffff,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830899fffffffff,169.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
83089afffffffff,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83089bfffffffff,60.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83089cfffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83089dfffffffff,211.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83089efffffffff,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308a0fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308a2fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308a3fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308a4fffffffff,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308a5fffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308a6fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308a8fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308a9fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308acfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308b0fffffffff,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308b1fffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308b2fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308b3fffffffff,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308b4fffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308b5fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308b6fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308c1fffffffff,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8308c2fffffffff,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8308c3fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8308c8fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308cefffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308d1fffffffff,28.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8308d2fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308d3fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308d4fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308d5fffffffff,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8308d6fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308d8fffffffff,108.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
8308dafffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308ddfffffffff,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8308defffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308e0fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308e1fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308e3fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308e5fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308eafffffffff,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8308edfffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308eefffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308f0fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308f2fffffffff,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8308f4fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308f6fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83094bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830980fffffffff,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830981fffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830982fffffffff,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830983fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830988fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830989fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83098afffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83098bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83098cfffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83098dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83098efffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830991fffffffff,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830993fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830998fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830999fffffffff,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83099bfffffffff,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83099cfffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
