cell_id,Myrmotherula ignota,Myrmotherula ignota ignota,Myrmotherula ignota obscura
826617fffffffff,631.0,53.0,0.0
82661ffffffffff,55.0,2.0,0.0
826647fffffffff,14.0,0.0,0.0
82665ffffffffff,209.0,0.0,8.0
8266a7fffffffff,1391.0,154.0,0.0
8266c7fffffffff,224.0,0.0,2.0
8266cffffffffff,10.0,0.0,0.0
8266d7fffffffff,202.0,14.0,0.0
8266dffffffffff,427.0,0.0,84.0
8266e7fffffffff,2.0,0.0,0.0
8266effffffffff,67.0,0.0,0.0
8266f7fffffffff,190.0,9.0,0.0
828a47fffffffff,48.0,0.0,0.0
828a6ffffffffff,85.0,0.0,3.0
828b6ffffffffff,1.0,0.0,0.0
828f47fffffffff,11.0,0.0,0.0
828f4ffffffffff,8.0,0.0,0.0
828f5ffffffffff,5.0,0.0,0.0
828f67fffffffff,20.0,0.0,0.0
828f6ffffffffff,16.0,0.0,0.0
828f77fffffffff,9.0,0.0,0.0
