cell_id,Ploceus melanogaster,Ploceus melanogaster melanogaster,Ploceus melanogaster stephanophorus
8458d13ffffffff,2.0,0.0,0.0
8458d1dffffffff,2.0,0.0,0.0
8458d33ffffffff,16.0,16.0,0.0
8458d37ffffffff,6.0,6.0,0.0
846ac03ffffffff,5.0,0.0,0.0
846ac0bffffffff,1.0,0.0,0.0
846ac15ffffffff,14.0,0.0,0.0
846ac1dffffffff,1.0,0.0,0.0
846ac35ffffffff,1.0,0.0,0.0
846ac3dffffffff,3.0,0.0,0.0
846ac5bffffffff,1.0,0.0,0.0
846ad8bffffffff,2.0,0.0,0.0
846adc1ffffffff,443.0,0.0,35.0
846adc9ffffffff,4.0,0.0,0.0
846ade7ffffffff,76.0,0.0,0.0
846ae85ffffffff,1.0,0.0,0.0
846aea1ffffffff,2.0,0.0,0.0
847a489ffffffff,19.0,0.0,0.0
847a48bffffffff,20.0,0.0,1.0
847a48dffffffff,6.0,0.0,0.0
847a4c3ffffffff,2.0,0.0,0.0
847a4c5ffffffff,3.0,0.0,0.0
847a4c9ffffffff,11.0,0.0,0.0
847a4cbffffffff,159.0,0.0,0.0
847a4cdffffffff,10.0,0.0,0.0
847a4ddffffffff,130.0,0.0,0.0
847a6abffffffff,1.0,0.0,0.0
847a6b7ffffffff,3.0,0.0,0.0
847a6bdffffffff,1.0,0.0,0.0
8482d03ffffffff,5.0,3.0,0.0
8482d27ffffffff,2.0,0.0,0.0
8482d3dffffffff,23.0,8.0,0.0
8496d21ffffffff,1.0,0.0,0.0
