cell_id,Sporophila corvina,Sporophila corvina corvina,Sporophila corvina [ophthalmica Group]
824507fffffffff,3.0,0.0,0.0
824527fffffffff,16.0,2.0,0.0
82452ffffffffff,9.0,0.0,0.0
826617fffffffff,20.0,0.0,2.0
82661ffffffffff,29.0,0.0,4.0
8266a7fffffffff,35.0,25.0,1.0
8266b7fffffffff,49.0,5.0,13.0
8266d7fffffffff,27.0,0.0,7.0
8266f7fffffffff,7.0,0.0,0.0
82679ffffffffff,17.0,6.0,1.0
826d27fffffffff,7.0,2.0,0.0
826d2ffffffffff,9.0,0.0,0.0
826d37fffffffff,22.0,2.0,0.0
826d67fffffffff,17.0,0.0,0.0
826d6ffffffffff,249.0,44.0,16.0
828f0ffffffffff,6.0,0.0,2.0
828f2ffffffffff,6.0,0.0,6.0
828f57fffffffff,1.0,0.0,0.0
828f77fffffffff,3.0,0.0,1.0
