cell_id,Colibri cyanotus,Colibri cyanotus cabanidis,Colibri cyanotus cyanotus/crissalis
845f483ffffffff,4.0,0.0,0.0
84660bdffffffff,4.0,0.0,0.0
8466181ffffffff,1.0,0.0,1.0
8466185ffffffff,1.0,0.0,1.0
84661bbffffffff,1.0,0.0,1.0
8466217ffffffff,5.0,0.0,5.0
846622bffffffff,9.0,0.0,1.0
8466a33ffffffff,2.0,0.0,0.0
8466b41ffffffff,111.0,111.0,0.0
8466b45ffffffff,282.0,279.0,0.0
8466b49ffffffff,11.0,11.0,0.0
8466b4dffffffff,180.0,171.0,0.0
8466d31ffffffff,54.0,0.0,6.0
8466d33ffffffff,4.0,0.0,0.0
8466d37ffffffff,9.0,0.0,2.0
8466de1ffffffff,2.0,0.0,0.0
8466dedffffffff,5.0,0.0,2.0
8466e65ffffffff,4.0,0.0,0.0
8466e6dffffffff,8.0,0.0,3.0
8467413ffffffff,28.0,0.0,6.0
84674e9ffffffff,6.0,0.0,0.0
846d68bffffffff,4.0,0.0,0.0
846d691ffffffff,1.0,1.0,0.0
846d693ffffffff,9.0,9.0,0.0
846d695ffffffff,2.0,2.0,0.0
846d69bffffffff,40.0,35.0,0.0
846d69dffffffff,185.0,181.0,0.0
848b617ffffffff,3.0,0.0,3.0
848b61dffffffff,2.0,0.0,2.0
848b69bffffffff,2.0,0.0,0.0
848b6cdffffffff,1.0,0.0,1.0
848e651ffffffff,1.0,0.0,1.0
848f295ffffffff,2.0,0.0,0.0
848f42dffffffff,4.0,0.0,0.0
848f4a5ffffffff,5.0,0.0,5.0
848f4b3ffffffff,4.0,0.0,0.0
848f559ffffffff,1.0,0.0,0.0
848f59bffffffff,1.0,0.0,1.0
