cell_id,Tympanuchus cupido,Tympanuchus cupido pinnatus,Tympanuchus cupido cupido,Tympanuchus cupido attwateri
822607fffffffff,39.0,0.0,0.0,0.0
82260ffffffffff,121.0,0.0,0.0,0.0
822617fffffffff,16.0,0.0,0.0,0.0
82261ffffffffff,24.0,0.0,0.0,0.0
822627fffffffff,2.0,0.0,0.0,0.0
822657fffffffff,193.0,0.0,0.0,0.0
82268ffffffffff,3.0,0.0,0.0,0.0
8226affffffffff,125.0,4.0,0.0,0.0
8226e7fffffffff,46.0,4.0,0.0,0.0
8226f7fffffffff,15.0,0.0,0.0,0.0
822707fffffffff,2.0,0.0,0.0,0.0
82274ffffffffff,2.0,0.0,0.0,0.0
822757fffffffff,88.0,4.0,0.0,0.0
82275ffffffffff,94.0,2.0,0.0,0.0
82276ffffffffff,2.0,0.0,0.0,0.0
82446ffffffffff,9.0,0.0,0.0,4.0
824897fffffffff,16.0,0.0,0.0,9.0
