cell_id,Phyllomyias griseiceps,Phyllomyias griseiceps griseiceps,Phyllomyias griseiceps cristatus,Phyllomyias griseiceps caucae,Phyllomyias griseiceps pallidiceps
825f07fffffffff,11.0,0.0,0.0,0.0,0.0
825f2ffffffffff,34.0,0.0,0.0,0.0,0.0
825f47fffffffff,10.0,0.0,0.0,0.0,0.0
825f4ffffffffff,54.0,0.0,1.0,0.0,0.0
825f57fffffffff,6.0,0.0,0.0,0.0,0.0
825f6ffffffffff,10.0,0.0,0.0,0.0,0.0
825f77fffffffff,56.0,0.0,0.0,0.0,2.0
82660ffffffffff,621.0,0.0,0.0,0.0,0.0
826617fffffffff,599.0,0.0,0.0,0.0,0.0
82661ffffffffff,3185.0,0.0,0.0,26.0,0.0
826627fffffffff,308.0,0.0,0.0,0.0,0.0
82662ffffffffff,218.0,0.0,0.0,0.0,0.0
826677fffffffff,3.0,0.0,0.0,0.0,0.0
8266c7fffffffff,497.0,0.0,0.0,10.0,0.0
8266d7fffffffff,1451.0,19.0,0.0,0.0,0.0
8266dffffffffff,290.0,0.0,0.0,0.0,17.0
8266e7fffffffff,2852.0,0.0,0.0,14.0,0.0
8266f7fffffffff,825.0,0.0,0.0,13.0,0.0
826747fffffffff,129.0,0.0,2.0,0.0,0.0
82674ffffffffff,206.0,0.0,0.0,0.0,0.0
826757fffffffff,54.0,0.0,0.0,0.0,0.0
82675ffffffffff,117.0,0.0,0.0,0.0,0.0
828adffffffffff,8.0,0.0,0.0,0.0,1.0
828b6ffffffffff,1.0,0.0,0.0,0.0,0.0
828e67fffffffff,24.0,0.0,0.0,0.0,0.0
828f0ffffffffff,185.0,0.0,0.0,0.0,0.0
828f27fffffffff,9.0,0.0,0.0,0.0,0.0
828f2ffffffffff,635.0,9.0,0.0,0.0,0.0
828f47fffffffff,169.0,0.0,0.0,0.0,0.0
828f77fffffffff,160.0,0.0,0.0,0.0,6.0
