cell_id,Pitta sordida,Pitta sordida cucullata,Pitta sordida mulleri/bangkana,Pitta sordida sordida/palawanensis,Pitta sordida sanghirana
833c19fffffffff,2.0,0.0,0.0,0.0,0.0
833c5afffffffff,4.0,0.0,0.0,0.0,0.0
833cc0fffffffff,1.0,0.0,0.0,0.0,0.0
833cc4fffffffff,5.0,0.0,0.0,0.0,0.0
833cc5fffffffff,1.0,0.0,0.0,0.0,0.0
833cc6fffffffff,4.0,3.0,0.0,0.0,0.0
833ce1fffffffff,4.0,0.0,0.0,0.0,0.0
833ce5fffffffff,2.0,0.0,0.0,0.0,0.0
833cecfffffffff,8.0,0.0,0.0,0.0,0.0
833cf0fffffffff,25.0,3.0,0.0,0.0,0.0
833cf2fffffffff,2.0,0.0,0.0,0.0,0.0
833d10fffffffff,1.0,0.0,0.0,0.0,0.0
83404dfffffffff,2.0,2.0,0.0,0.0,0.0
834bb1fffffffff,4.0,0.0,0.0,0.0,0.0
836416fffffffff,4.0,0.0,0.0,0.0,0.0
836435fffffffff,1.0,1.0,0.0,0.0,0.0
836495fffffffff,10.0,0.0,0.0,0.0,0.0
8364b4fffffffff,1.0,0.0,0.0,0.0,0.0
836526fffffffff,8.0,0.0,0.0,0.0,0.0
836589fffffffff,1.0,0.0,0.0,0.0,0.0
83658efffffffff,4.0,4.0,0.0,0.0,0.0
836818fffffffff,4.0,0.0,4.0,0.0,0.0
836828fffffffff,1.0,0.0,0.0,0.0,0.0
83684efffffffff,2.0,0.0,0.0,2.0,0.0
83694efffffffff,8.0,0.0,0.0,2.0,0.0
836959fffffffff,1.0,0.0,0.0,1.0,0.0
8373b6fffffffff,4.0,0.0,0.0,0.0,0.0
