cell_id,Saxicola maurus,Saxicola maurus hemprichii,Saxicola maurus [maurus Group],Saxicola maurus przewalskii
830a33fffffffff,5.0,0.0,0.0,0.0
830b91fffffffff,1.0,0.0,0.0,0.0
830bb1fffffffff,2.0,0.0,0.0,0.0
8310c0fffffffff,5.0,0.0,0.0,0.0
8310c2fffffffff,47.0,0.0,0.0,0.0
8310c3fffffffff,15.0,0.0,4.0,0.0
8310dcfffffffff,69.0,0.0,4.0,0.0
8310defffffffff,6.0,0.0,0.0,0.0
8310eefffffffff,6.0,0.0,4.0,0.0
831592fffffffff,10.0,0.0,0.0,0.0
8315b3fffffffff,9.0,0.0,0.0,0.0
83200afffffffff,22.0,0.0,11.0,0.0
83200efffffffff,10.0,0.0,2.0,0.0
832010fffffffff,11.0,0.0,0.0,0.0
832012fffffffff,3.0,0.0,0.0,0.0
832013fffffffff,1.0,0.0,1.0,0.0
832016fffffffff,6.0,0.0,0.0,0.0
832018fffffffff,10.0,0.0,0.0,0.0
832019fffffffff,14.0,0.0,4.0,0.0
83201afffffffff,21.0,0.0,0.0,0.0
83201bfffffffff,8.0,0.0,5.0,0.0
83201dfffffffff,4.0,0.0,4.0,0.0
832029fffffffff,1.0,0.0,0.0,0.0
83202dfffffffff,2.0,0.0,0.0,0.0
832033fffffffff,6.0,0.0,0.0,0.0
832049fffffffff,2.0,0.0,2.0,0.0
83204afffffffff,17.0,0.0,0.0,0.0
83204bfffffffff,36.0,0.0,0.0,0.0
83204dfffffffff,11.0,0.0,11.0,0.0
832054fffffffff,1.0,0.0,0.0,0.0
83205bfffffffff,4.0,0.0,0.0,0.0
83205cfffffffff,2.0,0.0,0.0,0.0
83205efffffffff,7.0,0.0,0.0,0.0
832068fffffffff,6.0,0.0,4.0,0.0
83206afffffffff,1.0,0.0,1.0,0.0
83206bfffffffff,4.0,0.0,4.0,0.0
83208afffffffff,1.0,0.0,0.0,0.0
83208dfffffffff,1.0,0.0,0.0,0.0
832098fffffffff,7.0,0.0,0.0,0.0
832099fffffffff,20.0,0.0,0.0,0.0
83209afffffffff,40.0,0.0,0.0,0.0
83209bfffffffff,28.0,0.0,0.0,0.0
83209cfffffffff,9.0,0.0,0.0,0.0
83209efffffffff,33.0,0.0,0.0,0.0
8320a0fffffffff,1.0,0.0,0.0,0.0
8320a1fffffffff,4.0,0.0,0.0,0.0
8320a2fffffffff,3.0,0.0,0.0,0.0
8320a4fffffffff,6.0,0.0,0.0,0.0
8320a6fffffffff,8.0,0.0,0.0,0.0
8320a8fffffffff,1.0,0.0,0.0,0.0
8320b1fffffffff,1.0,0.0,0.0,0.0
8320b2fffffffff,1.0,0.0,1.0,0.0
8320b3fffffffff,6.0,0.0,0.0,0.0
8320e0fffffffff,8.0,0.0,7.0,0.0
8320e1fffffffff,5.0,0.0,5.0,0.0
8320e2fffffffff,33.0,0.0,21.0,0.0
8320e3fffffffff,24.0,0.0,10.0,0.0
8320e4fffffffff,6.0,0.0,2.0,0.0
8320e6fffffffff,52.0,0.0,18.0,0.0
8320e8fffffffff,4.0,0.0,0.0,0.0
8320eafffffffff,2.0,0.0,0.0,0.0
8320f1fffffffff,1.0,0.0,0.0,0.0
8320f4fffffffff,4.0,0.0,0.0,0.0
8320f5fffffffff,6.0,0.0,0.0,0.0
832123fffffffff,27.0,0.0,0.0,0.0
832126fffffffff,3.0,0.0,0.0,0.0
83212bfffffffff,2.0,0.0,0.0,0.0
83212cfffffffff,2.0,0.0,0.0,0.0
83212dfffffffff,2.0,0.0,0.0,0.0
832150fffffffff,10.0,0.0,4.0,0.0
832152fffffffff,41.0,0.0,19.0,0.0
832153fffffffff,21.0,0.0,10.0,0.0
832156fffffffff,1.0,0.0,1.0,0.0
832171fffffffff,1.0,0.0,0.0,0.0
83218bfffffffff,1.0,0.0,0.0,0.0
832198fffffffff,19.0,0.0,0.0,0.0
832199fffffffff,2.0,0.0,0.0,0.0
83219efffffffff,2.0,0.0,0.0,0.0
83240afffffffff,1.0,0.0,0.0,0.0
832423fffffffff,2.0,0.0,0.0,0.0
832424fffffffff,2.0,0.0,0.0,0.0
832425fffffffff,7.0,0.0,0.0,0.0
832426fffffffff,15.0,0.0,0.0,0.0
832429fffffffff,2.0,0.0,0.0,0.0
83242bfffffffff,2.0,0.0,0.0,0.0
83242efffffffff,2.0,0.0,0.0,0.0
832446fffffffff,4.0,0.0,0.0,0.0
832451fffffffff,2.0,0.0,0.0,0.0
832452fffffffff,14.0,0.0,0.0,0.0
832456fffffffff,5.0,0.0,0.0,0.0
832460fffffffff,16.0,0.0,0.0,0.0
832462fffffffff,1.0,0.0,0.0,0.0
832464fffffffff,5.0,0.0,0.0,0.0
832466fffffffff,7.0,0.0,0.0,0.0
83246cfffffffff,2.0,0.0,0.0,0.0
83246dfffffffff,2.0,0.0,0.0,0.0
832475fffffffff,2.0,0.0,0.0,0.0
832476fffffffff,2.0,0.0,0.0,0.0
832488fffffffff,10.0,0.0,0.0,10.0
83248bfffffffff,6.0,0.0,0.0,4.0
83248efffffffff,29.0,0.0,0.0,19.0
832494fffffffff,2.0,0.0,0.0,2.0
83249dfffffffff,2.0,0.0,0.0,2.0
8324aafffffffff,2.0,0.0,0.0,2.0
8324d2fffffffff,2.0,0.0,0.0,0.0
8324e5fffffffff,4.0,0.0,0.0,0.0
832500fffffffff,1.0,0.0,0.0,0.0
832510fffffffff,5.0,0.0,0.0,0.0
832512fffffffff,11.0,0.0,0.0,0.0
832513fffffffff,19.0,0.0,0.0,0.0
832514fffffffff,6.0,0.0,0.0,0.0
83251bfffffffff,1.0,0.0,0.0,0.0
832550fffffffff,4.0,0.0,0.0,0.0
832552fffffffff,1.0,0.0,0.0,0.0
83255afffffffff,8.0,0.0,0.0,0.0
83255bfffffffff,13.0,0.0,0.0,0.0
8325a1fffffffff,1.0,0.0,0.0,0.0
8325a4fffffffff,4.0,0.0,0.0,0.0
8325acfffffffff,33.0,0.0,0.0,0.0
8325aefffffffff,2.0,0.0,0.0,0.0
8325b0fffffffff,22.0,0.0,0.0,0.0
8325b4fffffffff,2.0,0.0,0.0,0.0
8325b6fffffffff,1.0,0.0,0.0,0.0
832c00fffffffff,10.0,0.0,0.0,0.0
832c01fffffffff,10.0,0.0,0.0,0.0
832c03fffffffff,2.0,0.0,0.0,0.0
832c04fffffffff,448.0,0.0,0.0,0.0
832c05fffffffff,11.0,0.0,0.0,0.0
832c06fffffffff,1.0,0.0,0.0,0.0
832c09fffffffff,2.0,0.0,0.0,0.0
832c0afffffffff,2.0,0.0,0.0,0.0
832c0bfffffffff,37.0,0.0,0.0,0.0
832c0cfffffffff,17.0,4.0,0.0,0.0
832c10fffffffff,11.0,0.0,0.0,0.0
832c11fffffffff,3.0,0.0,0.0,0.0
832c13fffffffff,9.0,0.0,0.0,0.0
832c15fffffffff,9.0,0.0,0.0,0.0
832c18fffffffff,8.0,0.0,0.0,0.0
832c19fffffffff,19.0,0.0,0.0,0.0
832c1bfffffffff,5.0,0.0,0.0,0.0
832c1dfffffffff,8.0,0.0,0.0,0.0
832c1efffffffff,8.0,0.0,0.0,0.0
832c20fffffffff,109.0,20.0,8.0,0.0
832c21fffffffff,40.0,0.0,2.0,0.0
832c22fffffffff,2.0,0.0,0.0,0.0
832c23fffffffff,9.0,0.0,0.0,0.0
832c28fffffffff,32.0,6.0,0.0,0.0
832c2afffffffff,88.0,4.0,5.0,0.0
832c2bfffffffff,4.0,0.0,0.0,0.0
832c2cfffffffff,27.0,4.0,4.0,0.0
832c2efffffffff,38.0,2.0,0.0,0.0
832c31fffffffff,5.0,0.0,0.0,0.0
832c33fffffffff,23.0,0.0,0.0,0.0
832c36fffffffff,1.0,0.0,0.0,0.0
832c42fffffffff,2.0,0.0,0.0,0.0
832c4cfffffffff,3.0,0.0,0.0,0.0
832c62fffffffff,1.0,0.0,0.0,0.0
