cell_id,Thamnophilus doliatus,Thamnophilus doliatus [doliatus Group],Thamnophilus doliatus capistratus
824507fffffffff,167.0,0.0,0.0
82450ffffffffff,3076.0,354.0,0.0
82451ffffffffff,11.0,3.0,0.0
824527fffffffff,4508.0,26.0,0.0
82452ffffffffff,13832.0,396.0,0.0
824537fffffffff,401.0,0.0,0.0
824577fffffffff,125.0,14.0,0.0
824997fffffffff,557.0,68.0,0.0
82499ffffffffff,159.0,0.0,0.0
825e67fffffffff,6.0,0.0,0.0
825f07fffffffff,6.0,3.0,0.0
825f0ffffffffff,252.0,0.0,0.0
825f17fffffffff,76.0,0.0,0.0
825f1ffffffffff,154.0,0.0,0.0
825f2ffffffffff,132.0,2.0,0.0
825f47fffffffff,70.0,0.0,0.0
825f4ffffffffff,144.0,0.0,0.0
825f57fffffffff,30.0,0.0,0.0
825f5ffffffffff,3479.0,0.0,0.0
825f6ffffffffff,16.0,0.0,0.0
825f77fffffffff,14.0,0.0,0.0
826607fffffffff,197.0,1.0,0.0
82660ffffffffff,1065.0,14.0,0.0
826617fffffffff,1465.0,13.0,0.0
82661ffffffffff,425.0,2.0,0.0
826627fffffffff,911.0,59.0,0.0
82662ffffffffff,232.0,3.0,0.0
826637fffffffff,146.0,2.0,0.0
826647fffffffff,206.0,0.0,0.0
82664ffffffffff,4.0,0.0,0.0
826657fffffffff,478.0,0.0,0.0
82665ffffffffff,3.0,0.0,0.0
826667fffffffff,27.0,0.0,0.0
82666ffffffffff,3.0,0.0,0.0
826677fffffffff,378.0,0.0,0.0
826687fffffffff,47.0,0.0,0.0
8266a7fffffffff,6948.0,487.0,0.0
8266b7fffffffff,3084.0,3.0,0.0
8266c7fffffffff,575.0,2.0,0.0
8266cffffffffff,44.0,0.0,0.0
8266dffffffffff,106.0,26.0,0.0
8266e7fffffffff,4923.0,30.0,0.0
8266effffffffff,136.0,3.0,0.0
826747fffffffff,709.0,30.0,0.0
82674ffffffffff,3691.0,63.0,0.0
826757fffffffff,657.0,5.0,0.0
82675ffffffffff,832.0,0.0,0.0
82676ffffffffff,10.0,0.0,0.0
826797fffffffff,176.0,0.0,0.0
82679ffffffffff,530.0,0.0,0.0
8267b7fffffffff,1.0,0.0,0.0
826d07fffffffff,188.0,27.0,0.0
826d27fffffffff,781.0,94.0,0.0
826d2ffffffffff,3739.0,793.0,0.0
826d37fffffffff,1195.0,101.0,0.0
826d67fffffffff,4163.0,0.0,0.0
826d6ffffffffff,16155.0,0.0,0.0
826d77fffffffff,393.0,0.0,0.0
828007fffffffff,12.0,3.0,4.0
82800ffffffffff,9.0,3.0,0.0
828017fffffffff,208.0,0.0,171.0
828027fffffffff,8.0,0.0,4.0
82802ffffffffff,3.0,0.0,0.0
828037fffffffff,176.0,0.0,156.0
828047fffffffff,10.0,0.0,0.0
82804ffffffffff,27.0,11.0,0.0
828067fffffffff,3.0,0.0,0.0
82806ffffffffff,9.0,0.0,0.0
828077fffffffff,18.0,0.0,0.0
828107fffffffff,80.0,0.0,60.0
82810ffffffffff,3.0,0.0,3.0
828117fffffffff,4.0,0.0,3.0
82811ffffffffff,15.0,0.0,14.0
828127fffffffff,125.0,2.0,108.0
82812ffffffffff,28.0,4.0,4.0
828137fffffffff,130.0,1.0,100.0
828147fffffffff,70.0,14.0,0.0
82814ffffffffff,3.0,0.0,0.0
82815ffffffffff,4.0,0.0,0.0
828167fffffffff,61.0,1.0,0.0
828177fffffffff,42.0,5.0,0.0
828187fffffffff,15.0,0.0,7.0
82818ffffffffff,52.0,0.0,48.0
82819ffffffffff,7.0,0.0,7.0
8281affffffffff,154.0,0.0,124.0
828a07fffffffff,132.0,16.0,0.0
828a17fffffffff,5.0,0.0,0.0
828a1ffffffffff,8.0,1.0,0.0
828a27fffffffff,15.0,2.0,0.0
828a2ffffffffff,2.0,0.0,0.0
828a37fffffffff,13.0,1.0,0.0
828a47fffffffff,544.0,1.0,0.0
828a57fffffffff,7.0,0.0,0.0
828a6ffffffffff,703.0,0.0,0.0
828a77fffffffff,34.0,0.0,0.0
828a87fffffffff,2.0,0.0,0.0
828a8ffffffffff,45.0,9.0,0.0
828a97fffffffff,3.0,0.0,0.0
828a9ffffffffff,1.0,0.0,0.0
828aaffffffffff,47.0,0.0,0.0
828adffffffffff,131.0,19.0,0.0
828ae7fffffffff,1.0,0.0,0.0
828af7fffffffff,226.0,35.0,0.0
828b07fffffffff,34.0,0.0,0.0
828b0ffffffffff,142.0,2.0,0.0
828b17fffffffff,16.0,0.0,0.0
828b1ffffffffff,20.0,2.0,0.0
828b27fffffffff,339.0,0.0,0.0
828b2ffffffffff,158.0,0.0,0.0
828b37fffffffff,56.0,0.0,0.0
828b47fffffffff,873.0,0.0,0.0
828b4ffffffffff,25.0,1.0,0.0
828b57fffffffff,123.0,3.0,0.0
828b5ffffffffff,101.0,9.0,0.0
828b67fffffffff,338.0,2.0,0.0
828b6ffffffffff,196.0,0.0,0.0
828b77fffffffff,49.0,0.0,0.0
828b87fffffffff,58.0,3.0,0.0
828b8ffffffffff,15.0,0.0,0.0
828b97fffffffff,2.0,0.0,0.0
828b9ffffffffff,62.0,0.0,0.0
828ba7fffffffff,160.0,2.0,0.0
828baffffffffff,2.0,1.0,0.0
828bb7fffffffff,452.0,23.0,0.0
828e67fffffffff,135.0,0.0,0.0
828e6ffffffffff,1.0,0.0,0.0
828f47fffffffff,470.0,0.0,0.0
828f4ffffffffff,166.0,0.0,0.0
828f57fffffffff,9.0,0.0,0.0
828f5ffffffffff,10.0,0.0,0.0
828f67fffffffff,175.0,0.0,0.0
828f6ffffffffff,61.0,0.0,0.0
828f77fffffffff,18.0,0.0,0.0
82a807fffffffff,52.0,23.0,0.0
82a80ffffffffff,89.0,28.0,0.0
82a817fffffffff,653.0,371.0,0.0
82a81ffffffffff,3231.0,1027.0,0.0
82a827fffffffff,2.0,2.0,0.0
82a82ffffffffff,131.0,44.0,0.0
82a847fffffffff,414.0,76.0,0.0
82a84ffffffffff,13.0,0.0,0.0
82a857fffffffff,198.0,64.0,0.0
82a85ffffffffff,1414.0,54.0,0.0
82a867fffffffff,64.0,3.0,0.0
82a86ffffffffff,125.0,0.0,0.0
82a877fffffffff,73.0,53.0,0.0
82a887fffffffff,1.0,1.0,0.0
82a88ffffffffff,11.0,2.0,7.0
82a89ffffffffff,6.0,0.0,6.0
82a8a7fffffffff,20.0,0.0,0.0
82a8affffffffff,77.0,23.0,0.0
82a8c7fffffffff,207.0,63.0,0.0
82a8cffffffffff,18.0,4.0,0.0
82a8d7fffffffff,58.0,15.0,0.0
82a8dffffffffff,13.0,1.0,0.0
82a8e7fffffffff,65.0,33.0,0.0
82a8effffffffff,46.0,7.0,0.0
82a8f7fffffffff,86.0,34.0,0.0
82a947fffffffff,807.0,0.0,0.0
82a94ffffffffff,1879.0,0.0,0.0
82a957fffffffff,357.0,8.0,0.0
82a95ffffffffff,253.0,0.0,0.0
82a967fffffffff,66.0,0.0,0.0
82a96ffffffffff,256.0,0.0,0.0
82b267fffffffff,64.0,0.0,0.0
82b327fffffffff,2.0,0.0,0.0
82b347fffffffff,56.0,0.0,0.0
82b34ffffffffff,64.0,0.0,0.0
