cell_id,Thamnophilus ruficapillus,Thamnophilus ruficapillus [subfasciatus Group],Thamnophilus ruficapillus ruficapillus/cochabambae
848b201ffffffff,25.0,0.0,0.0
848b203ffffffff,51.0,0.0,0.0
848b205ffffffff,14.0,0.0,0.0
848b207ffffffff,4.0,0.0,0.0
848b20bffffffff,9.0,0.0,0.0
848b20dffffffff,6.0,0.0,0.0
848b21bffffffff,4.0,0.0,0.0
848b21dffffffff,2.0,0.0,0.0
848b229ffffffff,1.0,0.0,0.0
848b22dffffffff,2.0,0.0,0.0
848b241ffffffff,1.0,0.0,0.0
848b247ffffffff,3.0,0.0,0.0
848b251ffffffff,8.0,0.0,0.0
848b25dffffffff,9.0,0.0,0.0
848b26bffffffff,2.0,0.0,0.0
848b2c1ffffffff,4.0,0.0,0.0
848b2c5ffffffff,2.0,0.0,0.0
848b2d9ffffffff,2.0,0.0,0.0
848b2dbffffffff,1.0,0.0,0.0
848b665ffffffff,3.0,0.0,0.0
848b759ffffffff,2.0,0.0,0.0
848b75bffffffff,17.0,0.0,0.0
848f42dffffffff,6.0,0.0,0.0
848f465ffffffff,6.0,0.0,0.0
848f467ffffffff,2.0,0.0,0.0
848f509ffffffff,8.0,0.0,0.0
848f541ffffffff,14.0,0.0,0.0
848f549ffffffff,8.0,0.0,0.0
848f54bffffffff,9.0,0.0,0.0
848f551ffffffff,3.0,0.0,0.0
848f553ffffffff,40.0,1.0,0.0
848f559ffffffff,248.0,17.0,0.0
848f55bffffffff,100.0,2.0,0.0
848f733ffffffff,67.0,3.0,0.0
84a8001ffffffff,4.0,0.0,0.0
84a8005ffffffff,2.0,0.0,0.0
84a800dffffffff,2.0,0.0,0.0
84a8019ffffffff,14.0,0.0,0.0
84a801bffffffff,3.0,0.0,0.0
84a8035ffffffff,2.0,0.0,0.0
84a8041ffffffff,2.0,0.0,0.0
84a8043ffffffff,14.0,0.0,0.0
84a8049ffffffff,20.0,0.0,0.0
84a804bffffffff,13.0,0.0,0.0
84a804dffffffff,27.0,0.0,3.0
84a8055ffffffff,5.0,0.0,0.0
84a805dffffffff,26.0,0.0,0.0
84a8063ffffffff,4.0,0.0,0.0
84a8067ffffffff,28.0,0.0,0.0
84a8069ffffffff,3.0,0.0,0.0
84a806bffffffff,3.0,0.0,0.0
84a8101ffffffff,103.0,0.0,0.0
84a8103ffffffff,11.0,0.0,0.0
84a8105ffffffff,280.0,0.0,3.0
84a8107ffffffff,75.0,0.0,0.0
84a8109ffffffff,2.0,0.0,0.0
84a810bffffffff,4.0,0.0,0.0
84a810dffffffff,5.0,0.0,0.0
84a8115ffffffff,3.0,0.0,0.0
84a8117ffffffff,4.0,0.0,0.0
84a811bffffffff,10.0,0.0,0.0
84a811dffffffff,1.0,0.0,0.0
84a8121ffffffff,13.0,0.0,0.0
84a8123ffffffff,25.0,0.0,0.0
84a8125ffffffff,11.0,0.0,0.0
84a8127ffffffff,58.0,0.0,0.0
84a8129ffffffff,164.0,0.0,0.0
84a812bffffffff,45.0,0.0,0.0
84a8131ffffffff,45.0,0.0,0.0
84a8135ffffffff,2.0,0.0,0.0
84a8137ffffffff,2.0,0.0,0.0
84a8139ffffffff,28.0,0.0,0.0
84a813bffffffff,4.0,0.0,0.0
84a813dffffffff,7.0,0.0,0.0
84a8143ffffffff,7.0,0.0,0.0
84a8153ffffffff,21.0,0.0,0.0
84a8157ffffffff,5.0,0.0,0.0
84a815bffffffff,139.0,0.0,2.0
84a8199ffffffff,2.0,0.0,0.0
84a81a5ffffffff,5.0,0.0,0.0
84a81cdffffffff,66.0,0.0,0.0
84a81e1ffffffff,17.0,0.0,0.0
84a81e9ffffffff,32.0,0.0,0.0
84a81ebffffffff,9.0,0.0,0.0
84a81edffffffff,96.0,0.0,0.0
84a8203ffffffff,6.0,0.0,0.0
84a8211ffffffff,6.0,0.0,0.0
84a8215ffffffff,2.0,0.0,0.0
84a8219ffffffff,9.0,0.0,0.0
84a822bffffffff,5.0,0.0,0.0
84a8235ffffffff,4.0,0.0,0.0
84a8237ffffffff,7.0,0.0,0.0
84a823dffffffff,2.0,0.0,0.0
84a8241ffffffff,10.0,0.0,0.0
84a8245ffffffff,20.0,0.0,0.0
84a8247ffffffff,3.0,0.0,0.0
84a824bffffffff,2.0,0.0,0.0
84a8251ffffffff,2.0,0.0,0.0
84a8255ffffffff,2.0,0.0,0.0
84a8257ffffffff,21.0,0.0,0.0
84a825bffffffff,1.0,0.0,0.0
84a8261ffffffff,6.0,0.0,0.0
84a8269ffffffff,1.0,0.0,0.0
84a826dffffffff,11.0,0.0,0.0
84a8287ffffffff,2.0,0.0,0.0
84a82a5ffffffff,3.0,0.0,0.0
84a82bdffffffff,2.0,0.0,0.0
84a82e7ffffffff,6.0,0.0,0.0
84a8313ffffffff,43.0,0.0,3.0
84a8317ffffffff,2.0,0.0,0.0
84a8319ffffffff,2.0,0.0,0.0
84a831bffffffff,45.0,0.0,0.0
84a8353ffffffff,4.0,0.0,0.0
84a8357ffffffff,5.0,0.0,0.0
84a835bffffffff,11.0,0.0,0.0
84a835dffffffff,2.0,0.0,0.0
84a8801ffffffff,2.0,0.0,0.0
84a8805ffffffff,58.0,0.0,0.0
84a8807ffffffff,10.0,0.0,0.0
84a8811ffffffff,2.0,0.0,0.0
84a8819ffffffff,5.0,0.0,0.0
84a881bffffffff,11.0,0.0,0.0
84a8821ffffffff,2.0,0.0,0.0
84a8829ffffffff,2.0,0.0,0.0
84a882dffffffff,9.0,0.0,0.0
84a8849ffffffff,27.0,0.0,0.0
84a884bffffffff,2.0,0.0,2.0
84a884dffffffff,1.0,0.0,0.0
84a8857ffffffff,5.0,0.0,0.0
84a885bffffffff,2.0,0.0,0.0
84a8863ffffffff,2.0,0.0,0.0
84a8867ffffffff,4.0,0.0,0.0
84a8919ffffffff,1.0,0.0,0.0
84a8a03ffffffff,4.0,0.0,0.0
84a8a11ffffffff,16.0,0.0,2.0
84a8a13ffffffff,184.0,0.0,3.0
84a8a15ffffffff,2.0,0.0,0.0
84a8a17ffffffff,17.0,0.0,2.0
84a8a19ffffffff,35.0,0.0,0.0
84a8a1bffffffff,7.0,0.0,0.0
84a8a23ffffffff,142.0,0.0,8.0
84a8a27ffffffff,6.0,0.0,0.0
84a8a2bffffffff,1.0,0.0,0.0
84a8a31ffffffff,6.0,0.0,0.0
84a8a33ffffffff,1.0,0.0,0.0
84a8a35ffffffff,15.0,0.0,0.0
84a8a3bffffffff,15.0,0.0,0.0
84a8a3dffffffff,5.0,0.0,0.0
84a8a53ffffffff,17.0,0.0,0.0
84a8a85ffffffff,5.0,0.0,0.0
84a8a89ffffffff,2.0,0.0,0.0
84a8a8dffffffff,4.0,0.0,0.0
84a8a97ffffffff,5.0,0.0,0.0
84a8aa1ffffffff,3.0,0.0,0.0
84a8aadffffffff,34.0,0.0,0.0
84a8ac1ffffffff,1.0,0.0,0.0
84a8ac5ffffffff,8.0,0.0,0.0
84a8ac9ffffffff,16.0,0.0,0.0
84a8acbffffffff,9.0,0.0,2.0
84a8acdffffffff,13.0,0.0,0.0
84a8ad1ffffffff,11.0,0.0,0.0
84a8adbffffffff,2.0,0.0,0.0
84a8addffffffff,8.0,0.0,0.0
84a8ae1ffffffff,6.0,0.0,0.0
84a8ae3ffffffff,5.0,0.0,0.0
84a8ae5ffffffff,73.0,0.0,0.0
84a8ae9ffffffff,3.0,0.0,0.0
84a8f41ffffffff,2.0,0.0,0.0
84a8f45ffffffff,2.0,0.0,0.0
84a9013ffffffff,14.0,0.0,0.0
84a9017ffffffff,23.0,0.0,0.0
84a9031ffffffff,2.0,0.0,0.0
84a9033ffffffff,2.0,0.0,0.0
84a9051ffffffff,6.0,0.0,0.0
84a9057ffffffff,13.0,0.0,0.0
84a908bffffffff,1.0,0.0,0.0
84a9091ffffffff,5.0,0.0,0.0
84a9095ffffffff,35.0,0.0,0.0
84a909dffffffff,6.0,0.0,0.0
84a90a5ffffffff,9.0,0.0,0.0
84a90a7ffffffff,2.0,0.0,0.0
84a90adffffffff,2.0,0.0,0.0
84a90bbffffffff,7.0,0.0,0.0
84a90c1ffffffff,2.0,0.0,0.0
84a90c9ffffffff,2.0,0.0,0.0
84a90cdffffffff,4.0,0.0,0.0
84a90dbffffffff,9.0,0.0,0.0
84a90e1ffffffff,12.0,0.0,0.0
84a90e5ffffffff,37.0,0.0,0.0
84a90e7ffffffff,1.0,0.0,0.0
84a90e9ffffffff,33.0,0.0,0.0
84a90ebffffffff,4.0,0.0,0.0
84a9181ffffffff,10.0,0.0,0.0
84a9187ffffffff,2.0,0.0,0.0
84a918bffffffff,7.0,0.0,0.0
84a9191ffffffff,60.0,0.0,5.0
84a9193ffffffff,2.0,0.0,0.0
84a9195ffffffff,4.0,0.0,0.0
84a9199ffffffff,7.0,0.0,0.0
84a919bffffffff,2.0,0.0,0.0
84a91b1ffffffff,4.0,0.0,0.0
84a91b7ffffffff,3.0,0.0,0.0
84a91d1ffffffff,3.0,0.0,0.0
84a91d3ffffffff,2.0,0.0,0.0
84a91d5ffffffff,4.0,0.0,0.0
84a91d9ffffffff,23.0,0.0,0.0
84a91dbffffffff,4.0,0.0,0.0
84a91ddffffffff,6.0,0.0,0.0
84a9213ffffffff,10.0,0.0,0.0
84a9217ffffffff,6.0,0.0,0.0
84a921bffffffff,12.0,0.0,0.0
84a9289ffffffff,7.0,0.0,0.0
84a9291ffffffff,16.0,0.0,0.0
84a9293ffffffff,9.0,0.0,0.0
84a9295ffffffff,2.0,0.0,0.0
