cell_id,Zosterops senegalensis,Zosterops senegalensis senegalensis/demeryi,Zosterops senegalensis jacksoni/gerhardi
825287fffffffff,2.0,0.0,0.0
825297fffffffff,5.0,0.0,0.0
82540ffffffffff,12.0,0.0,0.0
82541ffffffffff,50.0,0.0,0.0
825447fffffffff,23.0,0.0,0.0
82544ffffffffff,2.0,0.0,0.0
8254affffffffff,61.0,0.0,0.0
8254e7fffffffff,141.0,0.0,0.0
8254effffffffff,3.0,0.0,0.0
8254f7fffffffff,71.0,0.0,0.0
82580ffffffffff,1.0,0.0,0.0
825847fffffffff,2.0,0.0,0.0
82585ffffffffff,1.0,0.0,0.0
825897fffffffff,1.0,0.0,0.0
82589ffffffffff,1.0,0.0,0.0
8258a7fffffffff,11.0,0.0,0.0
8258b7fffffffff,3.0,0.0,0.0
8258c7fffffffff,5.0,0.0,0.0
8258cffffffffff,3.0,0.0,0.0
8258d7fffffffff,2.0,0.0,0.0
8258e7fffffffff,100.0,0.0,0.0
8258effffffffff,2.0,0.0,0.0
8258f7fffffffff,6.0,0.0,0.0
825997fffffffff,4.0,0.0,0.0
82599ffffffffff,48.0,5.0,0.0
826a47fffffffff,11.0,0.0,0.0
826a5ffffffffff,21.0,0.0,0.0
826a67fffffffff,3.0,0.0,0.0
826a6ffffffffff,1.0,0.0,0.0
826ac7fffffffff,4.0,0.0,0.0
826acffffffffff,19.0,0.0,0.0
826adffffffffff,28.0,0.0,0.0
826aeffffffffff,12.0,0.0,0.0
826b17fffffffff,2.0,0.0,0.0
826bb7fffffffff,3.0,0.0,0.0
827507fffffffff,2.0,0.0,0.0
82750ffffffffff,216.0,16.0,0.0
827527fffffffff,152.0,16.0,0.0
82752ffffffffff,146.0,5.0,0.0
827537fffffffff,2.0,0.0,0.0
827577fffffffff,4.0,0.0,0.0
8275a7fffffffff,6.0,0.0,0.0
8275b7fffffffff,6.0,0.0,0.0
827a47fffffffff,26.0,0.0,0.0
827a4ffffffffff,772.0,0.0,0.0
827a6ffffffffff,368.0,0.0,0.0
827acffffffffff,1.0,0.0,0.0
827aeffffffffff,4.0,0.0,0.0
829697fffffffff,2.0,0.0,0.0
