cell_id,Saxicola torquatus,Saxicola torquatus [torquatus Group],Saxicola torquatus albofasciatus,Saxicola torquatus sibilla
836adcfffffffff,1.0,0.0,1.0,0.0
836adefffffffff,4.0,4.0,0.0,0.0
837a45fffffffff,2.0,2.0,0.0,0.0
837a61fffffffff,3.0,0.0,0.0,0.0
837a65fffffffff,15.0,0.0,0.0,0.0
837a68fffffffff,7.0,0.0,0.0,0.0
837a6efffffffff,2.0,2.0,0.0,0.0
839602fffffffff,1.0,0.0,0.0,0.0
839609fffffffff,1.0,1.0,0.0,0.0
83962bfffffffff,2.0,2.0,0.0,0.0
839692fffffffff,2.0,0.0,0.0,0.0
839693fffffffff,1.0,0.0,0.0,0.0
83a222fffffffff,1.0,0.0,0.0,0.0
83a235fffffffff,3.0,0.0,0.0,3.0
83a308fffffffff,10.0,0.0,0.0,9.0
83bc6bfffffffff,2.0,0.0,0.0,0.0
83bcc6fffffffff,1.0,0.0,0.0,0.0
83bcdefffffffff,3.0,0.0,0.0,0.0
