cell_id,Fregetta grallaria,Fregetta grallaria [grallaria Group],Fregetta grallaria titan
83a0c3fffffffff,1.0,0.0,0.0
83a161fffffffff,1.0,0.0,1.0
83a168fffffffff,2.0,0.0,2.0
83a169fffffffff,2.0,0.0,1.0
83a16cfffffffff,12.0,0.0,12.0
83a4c9fffffffff,1.0,0.0,0.0
83b001fffffffff,1.0,1.0,0.0
83ba1afffffffff,35.0,0.0,0.0
83ba69fffffffff,5.0,0.0,0.0
83baf4fffffffff,14.0,0.0,0.0
83bd48fffffffff,9.0,2.0,0.0
83be14fffffffff,1.0,0.0,0.0
83bea0fffffffff,1.0,0.0,0.0
83beaafffffffff,2.0,0.0,0.0
83beaefffffffff,4.0,0.0,0.0
83bf1afffffffff,2.0,0.0,0.0
83bf66fffffffff,1.0,0.0,0.0
83bf8bfffffffff,47.0,0.0,0.0
83c01cfffffffff,1.0,0.0,0.0
83c01efffffffff,11.0,0.0,0.0
83c022fffffffff,1.0,0.0,0.0
83c0e2fffffffff,8.0,0.0,0.0
83c0e6fffffffff,1.0,0.0,0.0
83c0f5fffffffff,1.0,0.0,0.0
83c64dfffffffff,1.0,0.0,0.0
83ccf1fffffffff,3.0,0.0,0.0
83d125fffffffff,1.0,0.0,0.0
83d136fffffffff,1.0,0.0,0.0
83dcdbfffffffff,1.0,0.0,0.0
83dcddfffffffff,2.0,1.0,0.0
