cell_id,Menelikornis leucotis,Menelikornis leucotis leucotis,Menelikornis leucotis donaldsoni
84194e7ffffffff,1.0,0.0,0.0
84529b9ffffffff,1.0,1.0,0.0
847acd5ffffffff,4.0,1.0,0.0
847ad8bffffffff,1.0,0.0,1.0
