cell_id,Knipolegus aterrimus,Knipolegus aterrimus heterogyna,Knipolegus aterrimus aterrimus/anthracinus
838f55fffffffff,4.0,0.0,0.0
83a961fffffffff,4.0,0.0,0.0
83b218fffffffff,2.0,0.0,0.0
83b242fffffffff,4.0,0.0,0.0
83b249fffffffff,15.0,0.0,0.0
83b24dfffffffff,14.0,0.0,0.0
83b25dfffffffff,4.0,0.0,0.0
83b26bfffffffff,4.0,0.0,0.0
83b26dfffffffff,3.0,0.0,0.0
83b270fffffffff,2.0,0.0,0.0
83b2e2fffffffff,12.0,0.0,0.0
83b2ecfffffffff,1.0,0.0,0.0
83b2eefffffffff,4.0,0.0,0.0
83b343fffffffff,2.0,0.0,0.0
83b349fffffffff,1.0,0.0,0.0
83b361fffffffff,6.0,0.0,0.0
83c2cdfffffffff,6.0,0.0,0.0
83c2e3fffffffff,4.0,0.0,0.0
83c2e9fffffffff,8.0,0.0,0.0
83c320fffffffff,7.0,0.0,0.0
83c324fffffffff,2.0,0.0,0.0
83c325fffffffff,2.0,0.0,0.0
83c32efffffffff,2.0,0.0,0.0
83ce93fffffffff,1.0,0.0,0.0
83df6afffffffff,1.0,0.0,0.0
