cell_id,Melanopareia torquata,Melanopareia torquata bitorquata,Melanopareia torquata torquata/rufescens
84802cdffffffff,2.0,0.0,0.0
8481005ffffffff,87.0,0.0,6.0
8481029ffffffff,84.0,0.0,2.0
848102bffffffff,9.0,0.0,0.0
8481049ffffffff,2.0,0.0,0.0
8481061ffffffff,3.0,0.0,0.0
8481063ffffffff,68.0,0.0,9.0
8481091ffffffff,1.0,0.0,0.0
8481099ffffffff,1.0,0.0,0.0
84811c9ffffffff,3.0,0.0,0.0
8481241ffffffff,3.0,0.0,1.0
8481245ffffffff,4.0,0.0,0.0
848124dffffffff,45.0,0.0,6.0
848129bffffffff,1.0,0.0,0.0
84812b5ffffffff,1.0,0.0,0.0
84812c9ffffffff,1.0,0.0,0.0
84812d7ffffffff,10.0,0.0,0.0
84812d9ffffffff,2.0,0.0,0.0
8481339ffffffff,1.0,0.0,0.0
8481409ffffffff,1.0,0.0,1.0
8481421ffffffff,1.0,0.0,0.0
8481429ffffffff,1.0,0.0,0.0
8481445ffffffff,1.0,0.0,0.0
848145dffffffff,2.0,0.0,0.0
8481513ffffffff,7.0,0.0,0.0
848151bffffffff,1.0,0.0,0.0
8481527ffffffff,1.0,0.0,0.0
8481545ffffffff,1.0,0.0,0.0
8481635ffffffff,2.0,0.0,0.0
8481711ffffffff,59.0,0.0,9.0
8481713ffffffff,11.0,0.0,0.0
848171bffffffff,2.0,0.0,0.0
8481721ffffffff,1.0,0.0,0.0
8481729ffffffff,3.0,0.0,0.0
848172bffffffff,3.0,0.0,0.0
848173bffffffff,1.0,0.0,0.0
848173dffffffff,4.0,0.0,0.0
848b061ffffffff,1.0,0.0,0.0
848b065ffffffff,1.0,0.0,0.0
848b105ffffffff,8.0,0.0,0.0
848b129ffffffff,6.0,0.0,0.0
848b365ffffffff,1.0,0.0,0.0
848ba3bffffffff,1.0,0.0,0.0
848ba45ffffffff,3.0,0.0,0.0
848ba63ffffffff,1.0,0.0,0.0
848bb59ffffffff,254.0,0.0,0.0
84a84d9ffffffff,3.0,0.0,0.0
84a8559ffffffff,3.0,0.0,0.0
84a85b7ffffffff,35.0,0.0,0.0
84a8753ffffffff,3.0,0.0,0.0
84a8811ffffffff,1.0,0.0,1.0
84a8813ffffffff,1.0,0.0,0.0
84a881bffffffff,89.0,0.0,11.0
84a88a9ffffffff,6.0,0.0,0.0
84a88c3ffffffff,17.0,0.0,5.0
84a88cbffffffff,2.0,0.0,0.0
84a88cdffffffff,2.0,0.0,1.0
84a88d5ffffffff,22.0,0.0,7.0
84a88ddffffffff,50.0,0.0,29.0
84a88e3ffffffff,2.0,0.0,2.0
84a88e9ffffffff,13.0,0.0,5.0
84a8a8dffffffff,2.0,0.0,0.0
84a8a91ffffffff,1.0,0.0,0.0
84a8a93ffffffff,22.0,0.0,2.0
84a8a97ffffffff,99.0,0.0,17.0
84a8aa1ffffffff,3.0,0.0,2.0
84a8aa5ffffffff,1.0,0.0,0.0
84a8aadffffffff,10.0,0.0,3.0
84a8ae1ffffffff,15.0,0.0,2.0
84a8ae3ffffffff,4.0,0.0,0.0
84a8ae5ffffffff,38.0,0.0,34.0
84a8ae7ffffffff,2.0,0.0,0.0
84a8c23ffffffff,2.0,0.0,0.0
84a8c25ffffffff,72.0,0.0,27.0
84a8cb5ffffffff,1.0,0.0,0.0
84a8d11ffffffff,2.0,0.0,0.0
84a8d19ffffffff,95.0,0.0,9.0
84a8d1bffffffff,51.0,0.0,1.0
84a8d35ffffffff,90.0,0.0,31.0
84a8d5bffffffff,1.0,0.0,0.0
84a8da5ffffffff,1.0,0.0,0.0
84a8da9ffffffff,4.0,0.0,0.0
84a8de1ffffffff,49.0,0.0,0.0
84a8de3ffffffff,63.0,0.0,2.0
84a8debffffffff,13.0,0.0,0.0
84a8ec9ffffffff,90.0,0.0,1.0
84a8ecbffffffff,6.0,0.0,0.0
84a8ed5ffffffff,1.0,0.0,0.0
84a8f0bffffffff,1.0,0.0,0.0
84a8f13ffffffff,1.0,0.0,0.0
84a8f41ffffffff,2.0,0.0,0.0
84a8f43ffffffff,3.0,0.0,0.0
84a9429ffffffff,1.0,0.0,0.0
84a9595ffffffff,1.0,0.0,0.0
84a95abffffffff,45.0,0.0,0.0
84a95dbffffffff,2.0,0.0,0.0
