cell_id,Microrhopias quixensis,Microrhopias quixensis [boucardi Group],Microrhopias quixensis microstictus,Microrhopias quixensis quixensis,Microrhopias quixensis nigriventris,Microrhopias quixensis albicauda/intercedens,Microrhopias quixensis bicolor,Microrhopias quixensis emiliae
834505fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834520fffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834521fffffffff,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834522fffffffff,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834523fffffffff,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834525fffffffff,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834526fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834528fffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83452afffffffff,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83452cfffffffff,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83452dfffffffff,289.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
83452efffffffff,2207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834530fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834531fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834532fffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834535fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834536fffffffff,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f01fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f02fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f03fffffffff,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f10fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f12fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f14fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f1cfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f28fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f29fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f2bfffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f2dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
836602fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
836608fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83660afffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83660efffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
836610fffffffff,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
836611fffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
836612fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
836613fffffffff,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
836616fffffffff,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
836619fffffffff,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83661afffffffff,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83661bfffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83661cfffffffff,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83661dfffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83661efffffffff,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366a0fffffffff,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366a5fffffffff,6779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366a6fffffffff,486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366a9fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366b0fffffffff,1448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366b1fffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366b4fffffffff,688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366b5fffffffff,518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366b6fffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366d0fffffffff,241.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
8366d1fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366d2fffffffff,148.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8366d3fffffffff,787.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
8366d5fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366d6fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366d8fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366dafffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366dbfffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366dcfffffffff,24.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
8366ddfffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366defffffffff,69.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
