cell_id,Puffinus bailloni,Puffinus bailloni bailloni,Puffinus bailloni [dichrous Group]
8242dffffffffff,1.0,0.0,0.0
826007fffffffff,3.0,0.0,0.0
82611ffffffffff,2.0,1.0,1.0
82731ffffffffff,2.0,0.0,0.0
827717fffffffff,1.0,0.0,1.0
82845ffffffffff,10.0,0.0,0.0
8284a7fffffffff,1.0,0.0,1.0
8285a7fffffffff,2.0,0.0,2.0
8288cffffffffff,1.0,0.0,1.0
828927fffffffff,2.0,0.0,0.0
828937fffffffff,1.0,0.0,0.0
828c27fffffffff,1.0,0.0,0.0
829a17fffffffff,2.0,0.0,0.0
829b0ffffffffff,1.0,0.0,0.0
829e17fffffffff,1.0,0.0,0.0
829e27fffffffff,8.0,0.0,0.0
829e37fffffffff,1.0,0.0,0.0
829e8ffffffffff,1.0,0.0,1.0
829eaffffffffff,1.0,0.0,1.0
829ed7fffffffff,1.0,0.0,0.0
829edffffffffff,2.0,0.0,2.0
829faffffffffff,1.0,0.0,0.0
82a06ffffffffff,1.0,0.0,0.0
82a0cffffffffff,1.0,0.0,0.0
82a11ffffffffff,1.0,0.0,0.0
82a257fffffffff,10.0,2.0,0.0
82a397fffffffff,2.0,0.0,0.0
82b4c7fffffffff,2.0,0.0,0.0
82bc07fffffffff,8.0,2.0,0.0
82bc1ffffffffff,13.0,0.0,0.0
