cell_id,Dicrurus balicassius,Dicrurus balicassius balicassius/abraensis,Dicrurus balicassius mirabilis
844a965ffffffff,1.0,0.0,0.0
8468449ffffffff,26.0,0.0,17.0
846846dffffffff,142.0,0.0,82.0
8468621ffffffff,36.0,0.0,25.0
8468625ffffffff,18.0,0.0,14.0
8468627ffffffff,2.0,0.0,0.0
8468651ffffffff,14.0,14.0,0.0
8468655ffffffff,1.0,0.0,0.0
8468657ffffffff,19.0,8.0,0.0
8468665ffffffff,10.0,0.0,4.0
846866dffffffff,10.0,0.0,5.0
8468711ffffffff,2.0,0.0,0.0
846871bffffffff,32.0,0.0,14.0
8468751ffffffff,58.0,0.0,48.0
8469415ffffffff,4.0,1.0,0.0
846941dffffffff,4.0,0.0,0.0
8469433ffffffff,84.0,6.0,0.0
8469439ffffffff,508.0,60.0,0.0
846943bffffffff,6.0,0.0,0.0
8469457ffffffff,2.0,0.0,0.0
846945dffffffff,2.0,2.0,0.0
84694a9ffffffff,14.0,1.0,0.0
84694b7ffffffff,7.0,0.0,0.0
84694cdffffffff,4.0,0.0,0.0
84694e1ffffffff,270.0,17.0,0.0
84694e5ffffffff,250.0,23.0,0.0
84694e7ffffffff,40.0,1.0,0.0
84694e9ffffffff,10.0,0.0,0.0
84694ebffffffff,3.0,0.0,0.0
84694edffffffff,2.0,0.0,0.0
8469583ffffffff,4.0,0.0,0.0
846958bffffffff,47.0,1.0,0.0
846959dffffffff,12.0,0.0,0.0
84695c3ffffffff,4.0,0.0,0.0
84695d1ffffffff,11.0,0.0,0.0
84695d9ffffffff,5.0,0.0,0.0
84695ddffffffff,1.0,0.0,0.0
8469683ffffffff,1.0,1.0,0.0
846968bffffffff,3.0,0.0,0.0
846969dffffffff,2.0,1.0,0.0
84696adffffffff,2.0,2.0,0.0
84696b9ffffffff,1.0,0.0,0.0
84696c3ffffffff,1.0,0.0,0.0
84696cbffffffff,1.0,0.0,0.0
84696d7ffffffff,29.0,20.0,0.0
84696e7ffffffff,2.0,0.0,0.0
