cell_id,Zosterops fuscicapilla,Zosterops fuscicapilla fuscicapilla,Zosterops fuscicapilla crookshanki
837288fffffffff,1.0,0.0,0.0
837289fffffffff,7.0,0.0,0.0
83728bfffffffff,32.0,0.0,0.0
83728efffffffff,3.0,0.0,0.0
8372a2fffffffff,324.0,24.0,0.0
8372d2fffffffff,45.0,0.0,0.0
8372d5fffffffff,1.0,0.0,0.0
839cb5fffffffff,3.0,0.0,0.0
839cd2fffffffff,47.0,0.0,0.0
839cd3fffffffff,2.0,0.0,0.0
