cell_id,Leistes loyca,Leistes loyca obscurus,Leistes loyca [loyca Group]
82b207fffffffff,76.0,0.0,0.0
82b20ffffffffff,29.0,0.0,0.0
82b21ffffffffff,1859.0,0.0,0.0
82b22ffffffffff,8.0,0.0,0.0
82b247fffffffff,130.0,0.0,0.0
82b24ffffffffff,4.0,0.0,0.0
82b257fffffffff,3.0,0.0,0.0
82b25ffffffffff,781.0,0.0,0.0
82b277fffffffff,7.0,0.0,0.0
82b2c7fffffffff,14505.0,0.0,0.0
82b2cffffffffff,476.0,0.0,0.0
82b2dffffffffff,1500.0,0.0,0.0
82b2e7fffffffff,1685.0,0.0,0.0
82b2effffffffff,483.0,0.0,0.0
82b357fffffffff,103.0,0.0,0.0
82b35ffffffffff,98.0,0.0,0.0
82c207fffffffff,31.0,0.0,0.0
82c21ffffffffff,71.0,0.0,0.0
82c227fffffffff,72.0,0.0,0.0
82c22ffffffffff,338.0,0.0,0.0
82c2e7fffffffff,6.0,0.0,0.0
82c307fffffffff,97.0,0.0,0.0
82c30ffffffffff,185.0,0.0,0.0
82c327fffffffff,469.0,0.0,0.0
82c32ffffffffff,1380.0,0.0,0.0
82c347fffffffff,597.0,0.0,0.0
82c34ffffffffff,2.0,0.0,0.0
82c357fffffffff,1074.0,0.0,0.0
82c35ffffffffff,2.0,0.0,0.0
82c367fffffffff,398.0,0.0,0.0
82c36ffffffffff,64.0,0.0,0.0
82c377fffffffff,530.0,0.0,0.0
82ce17fffffffff,3.0,0.0,0.0
82ce87fffffffff,1864.0,0.0,0.0
82ce8ffffffffff,1610.0,0.0,0.0
82ce97fffffffff,1092.0,0.0,0.0
82ce9ffffffffff,1704.0,0.0,0.0
82cea7fffffffff,298.0,0.0,0.0
82ceaffffffffff,1950.0,0.0,0.0
82ceb7fffffffff,17.0,0.0,0.0
82cf17fffffffff,1199.0,0.0,0.0
82cf87fffffffff,125.0,0.0,0.0
82cf8ffffffffff,996.0,0.0,0.0
82cf97fffffffff,281.0,0.0,0.0
82cf9ffffffffff,195.0,0.0,0.0
82cfa7fffffffff,4459.0,0.0,0.0
82cfaffffffffff,892.0,0.0,0.0
82cfb7fffffffff,71.0,0.0,0.0
82de67fffffffff,265.0,0.0,0.0
82de77fffffffff,451.0,0.0,0.0
82df47fffffffff,951.0,0.0,0.0
82df4ffffffffff,64.0,0.0,0.0
82df6ffffffffff,3601.0,0.0,0.0
