cell_id,Pnoepyga albiventer,Pnoepyga albiventer albiventer/pallidior,Pnoepyga albiventer mutica
843c02dffffffff,6.0,6.0,0.0
843c0a5ffffffff,2.0,2.0,0.0
843c1d1ffffffff,2.0,2.0,0.0
843c317ffffffff,1.0,1.0,0.0
843c521ffffffff,58.0,58.0,0.0
843c525ffffffff,1.0,1.0,0.0
843c527ffffffff,151.0,151.0,0.0
843c581ffffffff,3.0,3.0,0.0
843c5bdffffffff,3.0,3.0,0.0
843ce4dffffffff,4.0,4.0,0.0
843ce5bffffffff,9.0,9.0,0.0
843ce85ffffffff,2.0,2.0,0.0
843cebdffffffff,12.0,12.0,0.0
843d151ffffffff,1.0,1.0,0.0
843d157ffffffff,1.0,1.0,0.0
843d307ffffffff,21.0,16.0,0.0
8440a8dffffffff,4.0,0.0,4.0
