cell_id,Rhodinocichla rosea,Rhodinocichla rosea schistacea,Rhodinocichla rosea eximia,Rhodinocichla rosea [rosea Group]
834806fffffffff,2.0,0.0,0.0,0.0
834830fffffffff,2.0,0.0,0.0,0.0
834832fffffffff,3.0,0.0,0.0,0.0
834833fffffffff,38.0,0.0,0.0,0.0
834836fffffffff,784.0,0.0,0.0,0.0
83498dfffffffff,2.0,0.0,0.0,0.0
8349a8fffffffff,28.0,0.0,0.0,0.0
8349a9fffffffff,406.0,0.0,0.0,0.0
8349adfffffffff,11.0,0.0,0.0,0.0
836605fffffffff,1.0,0.0,0.0,0.0
836616fffffffff,2.0,0.0,0.0,0.0
836619fffffffff,589.0,0.0,0.0,0.0
836620fffffffff,419.0,0.0,0.0,0.0
836621fffffffff,73.0,0.0,0.0,0.0
836622fffffffff,182.0,0.0,0.0,0.0
836623fffffffff,2.0,0.0,0.0,0.0
83662efffffffff,37.0,0.0,0.0,0.0
836672fffffffff,6.0,0.0,0.0,0.0
8366a0fffffffff,594.0,0.0,0.0,0.0
8366a1fffffffff,2.0,0.0,0.0,0.0
8366a2fffffffff,7.0,0.0,0.0,0.0
8366a3fffffffff,41.0,0.0,0.0,0.0
8366a5fffffffff,1511.0,0.0,0.0,0.0
8366b4fffffffff,402.0,0.0,0.0,0.0
8366b5fffffffff,390.0,0.0,0.0,0.0
8366e0fffffffff,261.0,0.0,0.0,0.0
8366e2fffffffff,9.0,0.0,0.0,0.0
8366e4fffffffff,546.0,0.0,0.0,0.0
8366e6fffffffff,254.0,0.0,0.0,0.0
836741fffffffff,246.0,0.0,0.0,0.0
836742fffffffff,75.0,0.0,0.0,0.0
836743fffffffff,20.0,0.0,0.0,0.0
83674cfffffffff,605.0,0.0,0.0,0.0
83674efffffffff,14.0,0.0,0.0,0.0
836751fffffffff,78.0,0.0,0.0,0.0
836753fffffffff,2.0,0.0,0.0,0.0
836755fffffffff,3.0,0.0,0.0,0.0
83675cfffffffff,43.0,0.0,0.0,0.0
83675efffffffff,13.0,0.0,0.0,0.0
