cell_id,Scotocerca inquieta,Scotocerca inquieta saharae/theresae,Scotocerca inquieta [inquieta Group]
822017fffffffff,2.0,0.0,0.0
8220b7fffffffff,2.0,0.0,0.0
8220f7fffffffff,3.0,0.0,0.0
822187fffffffff,1.0,0.0,0.0
82218ffffffffff,16.0,0.0,0.0
82219ffffffffff,33.0,0.0,3.0
8221b7fffffffff,2.0,0.0,0.0
822c87fffffffff,6.0,0.0,0.0
822c8ffffffffff,9.0,0.0,0.0
822c9ffffffffff,1.0,0.0,0.0
822caffffffffff,2.0,0.0,0.0
822cc7fffffffff,59.0,0.0,0.0
822ccffffffffff,7.0,0.0,0.0
822cd7fffffffff,59.0,0.0,0.0
822cdffffffffff,52.0,0.0,0.0
822cf7fffffffff,30.0,0.0,0.0
822d87fffffffff,1.0,0.0,0.0
822d97fffffffff,3.0,0.0,0.0
822db7fffffffff,762.0,0.0,188.0
823817fffffffff,49.0,0.0,0.0
823837fffffffff,1.0,0.0,0.0
823847fffffffff,16.0,0.0,0.0
82384ffffffffff,11.0,0.0,0.0
82385ffffffffff,2.0,0.0,0.0
823877fffffffff,1.0,0.0,0.0
82398ffffffffff,161.0,10.0,0.0
823997fffffffff,42.0,1.0,0.0
823e5ffffffffff,1.0,0.0,0.0
823e67fffffffff,2.0,0.0,0.0
823e6ffffffffff,1611.0,0.0,262.0
823e77fffffffff,2.0,0.0,0.0
823fa7fffffffff,1.0,0.0,0.0
824227fffffffff,27.0,0.0,0.0
824237fffffffff,2.0,0.0,0.0
824307fffffffff,7.0,0.0,0.0
82430ffffffffff,8.0,0.0,0.0
824317fffffffff,3.0,0.0,0.0
82431ffffffffff,22.0,0.0,0.0
824327fffffffff,12.0,0.0,0.0
82432ffffffffff,2.0,0.0,0.0
824337fffffffff,12.0,0.0,0.0
824367fffffffff,50.0,0.0,0.0
824377fffffffff,3.0,0.0,0.0
824387fffffffff,15.0,0.0,0.0
82438ffffffffff,36.0,0.0,0.0
8243a7fffffffff,1.0,0.0,0.0
8243affffffffff,119.0,0.0,17.0
825207fffffffff,43.0,0.0,0.0
825217fffffffff,2.0,0.0,0.0
82521ffffffffff,3.0,0.0,0.0
825237fffffffff,17.0,0.0,0.0
825317fffffffff,4.0,0.0,0.0
82531ffffffffff,4.0,0.0,0.0
825337fffffffff,4.0,0.0,0.0
825357fffffffff,3.0,0.0,0.0
8253b7fffffffff,6.0,0.0,0.0
825517fffffffff,4.0,4.0,0.0
825537fffffffff,12.0,1.0,0.0
826337fffffffff,8.0,0.0,0.0
