cell_id,Geothlypis trichas,Geothlypis trichas [arizela Group],Geothlypis trichas [melanops Group],Geothlypis trichas [trichas Group],Geothlypis trichas insperata,Geothlypis trichas chapalensis
830743fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
83074efffffffff,3.0,0.0,0.0,0.0,0.0,0.0
830981fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830c41fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830c42fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
830c44fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830c64fffffffff,24.0,0.0,0.0,0.0,0.0,0.0
830c65fffffffff,16.0,0.0,0.0,0.0,0.0,0.0
830c73fffffffff,45.0,0.0,0.0,0.0,0.0,0.0
830c74fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
830d4afffffffff,17.0,0.0,0.0,0.0,0.0,0.0
830d4efffffffff,6.0,0.0,0.0,0.0,0.0,0.0
830d58fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
830d59fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
830d5afffffffff,7.0,0.0,0.0,0.0,0.0,0.0
830d5efffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830e48fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830e49fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830e4bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830ec8fffffffff,4.0,0.0,0.0,4.0,0.0,0.0
830ec9fffffffff,27.0,0.0,0.0,27.0,0.0,0.0
830eccfffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830ecdfffffffff,14.0,0.0,0.0,14.0,0.0,0.0
830eeafffffffff,16.0,0.0,0.0,0.0,0.0,0.0
830eebfffffffff,5.0,0.0,0.0,3.0,0.0,0.0
831214fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
831230fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
831259fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
831289fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83128bfffffffff,96.0,0.0,0.0,0.0,0.0,0.0
83128efffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8312b0fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8312c1fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
8312c2fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8312c8fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8312c9fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8312ccfffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8312cefffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8312d1fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8312d9fffffffff,17.0,0.0,0.0,0.0,0.0,0.0
8312dafffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8312dbfffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8312dcfffffffff,14.0,0.0,0.0,0.0,0.0,0.0
8312ddfffffffff,14.0,0.0,0.0,0.0,0.0,0.0
8312defffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8312e1fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8312eafffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8312ecfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8312f1fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8312f6fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
831382fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
831383fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
831386fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
83138cfffffffff,23.0,0.0,0.0,0.0,0.0,0.0
831393fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
831876fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
831958fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
831aa0fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
831aa2fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
831aa3fffffffff,64.0,0.0,0.0,0.0,0.0,0.0
831aa6fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
831aadfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
831ab0fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
831ab5fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
831b99fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
831b9efffffffff,10.0,0.0,0.0,0.0,0.0,0.0
831d24fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
831f9dfffffffff,5.0,0.0,0.0,0.0,0.0,0.0
832608fffffffff,2.0,0.0,0.0,2.0,0.0,0.0
832609fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
83260afffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83260bfffffffff,6.0,0.0,0.0,0.0,0.0,0.0
832611fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
832613fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
832616fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83261dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832626fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
832628fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832629fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83262bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
