cell_id,Aegithalos concinnus,Aegithalos concinnus [concinnus Group],Aegithalos concinnus iredalei/rubricapillus,Aegithalos concinnus annamensis
84209a1ffffffff,6.0,0.0,0.0,0.0
84209a5ffffffff,2.0,0.0,0.0,0.0
84209a7ffffffff,5.0,0.0,0.0,0.0
84209e7ffffffff,3.0,0.0,0.0,0.0
8430833ffffffff,2.0,0.0,0.0,0.0
8430839ffffffff,2.0,0.0,0.0,0.0
8430911ffffffff,48.0,0.0,0.0,0.0
843091dffffffff,18.0,0.0,0.0,0.0
8430929ffffffff,4.0,3.0,0.0,0.0
8430963ffffffff,7.0,2.0,0.0,0.0
8430981ffffffff,7.0,0.0,0.0,0.0
8430985ffffffff,4.0,0.0,0.0,0.0
8430989ffffffff,4.0,0.0,0.0,0.0
843098dffffffff,41.0,0.0,0.0,0.0
8430995ffffffff,44.0,10.0,0.0,0.0
843099dffffffff,2.0,0.0,0.0,0.0
84309a3ffffffff,3.0,0.0,0.0,0.0
84309a5ffffffff,288.0,1.0,0.0,0.0
84309a7ffffffff,1.0,0.0,0.0,0.0
84309abffffffff,3.0,0.0,0.0,0.0
84309adffffffff,23.0,0.0,0.0,0.0
84309b3ffffffff,3.0,0.0,0.0,0.0
84309b5ffffffff,1.0,0.0,0.0,0.0
84309b9ffffffff,25.0,1.0,0.0,0.0
84309bdffffffff,19.0,3.0,0.0,0.0
84309c7ffffffff,2.0,0.0,0.0,0.0
84309e1ffffffff,2.0,0.0,0.0,0.0
84309e3ffffffff,1.0,0.0,0.0,0.0
84309e5ffffffff,4.0,0.0,0.0,0.0
84309e7ffffffff,19.0,0.0,0.0,0.0
84309ebffffffff,2.0,0.0,0.0,0.0
8430b03ffffffff,2.0,0.0,0.0,0.0
843c00dffffffff,9.0,0.0,3.0,0.0
843c021ffffffff,4.0,0.0,0.0,0.0
843c027ffffffff,1.0,0.0,0.0,0.0
843c029ffffffff,358.0,0.0,97.0,0.0
843c02bffffffff,5.0,0.0,0.0,0.0
843c02dffffffff,408.0,0.0,56.0,0.0
843c031ffffffff,6.0,0.0,0.0,0.0
843c063ffffffff,50.0,0.0,6.0,0.0
843c067ffffffff,118.0,0.0,12.0,0.0
843c06bffffffff,2.0,0.0,0.0,0.0
843c0a3ffffffff,8.0,0.0,1.0,0.0
843c0a5ffffffff,508.0,0.0,13.0,0.0
843c0a7ffffffff,2.0,0.0,2.0,0.0
843c0a9ffffffff,68.0,0.0,0.0,0.0
843c0adffffffff,142.0,0.0,5.0,0.0
843c0b3ffffffff,1.0,0.0,0.0,0.0
843c0b5ffffffff,96.0,0.0,13.0,0.0
843c0b7ffffffff,67.0,0.0,3.0,0.0
843c0bdffffffff,15.0,0.0,0.0,0.0
843c159ffffffff,1.0,0.0,0.0,0.0
843c199ffffffff,53.0,0.0,0.0,0.0
843c1c9ffffffff,1.0,0.0,0.0,0.0
843c1d1ffffffff,39.0,0.0,0.0,0.0
843c1d3ffffffff,242.0,0.0,5.0,0.0
843c1d7ffffffff,5.0,0.0,0.0,0.0
843c1dbffffffff,77.0,0.0,2.0,0.0
843c303ffffffff,2.0,0.0,0.0,0.0
843c307ffffffff,14.0,0.0,0.0,0.0
843c30bffffffff,2.0,0.0,0.0,0.0
843c315ffffffff,43.0,0.0,4.0,0.0
