cell_id,Campethera abingoni,Campethera abingoni chrysura,Campethera abingoni [abingoni Group]
83541afffffffff,4.0,0.0,0.0
8354a9fffffffff,22.0,0.0,0.0
835896fffffffff,2.0,0.0,0.0
8358cdfffffffff,1.0,0.0,0.0
836ac3fffffffff,2.0,0.0,0.0
836acefffffffff,7.0,0.0,0.0
836ad8fffffffff,7.0,0.0,0.0
836adcfffffffff,5.0,0.0,0.0
836addfffffffff,4.0,0.0,0.0
837520fffffffff,42.0,2.0,0.0
837a65fffffffff,3.0,0.0,0.0
837a68fffffffff,33.0,0.0,0.0
837a69fffffffff,2.0,0.0,0.0
837a6dfffffffff,12.0,0.0,0.0
837b48fffffffff,8.0,0.0,0.0
837b49fffffffff,2.0,0.0,0.0
837b4bfffffffff,2.0,0.0,0.0
837b4cfffffffff,2.0,0.0,0.0
837b4dfffffffff,1.0,0.0,0.0
837b68fffffffff,2.0,0.0,0.0
837b6bfffffffff,9.0,0.0,0.0
838304fffffffff,4.0,0.0,1.0
838311fffffffff,2.0,0.0,1.0
838312fffffffff,3.0,0.0,3.0
83831efffffffff,4.0,0.0,0.0
838320fffffffff,2.0,0.0,0.0
8383adfffffffff,2.0,0.0,0.0
839600fffffffff,6.0,0.0,0.0
839601fffffffff,4.0,0.0,0.0
839602fffffffff,2.0,0.0,0.0
839603fffffffff,2.0,0.0,1.0
839604fffffffff,4.0,0.0,0.0
839609fffffffff,1.0,0.0,0.0
83960efffffffff,2.0,0.0,0.0
839614fffffffff,6.0,0.0,0.0
839615fffffffff,2.0,0.0,0.0
83961cfffffffff,1.0,0.0,0.0
839620fffffffff,17.0,0.0,0.0
839621fffffffff,4.0,0.0,0.0
839622fffffffff,6.0,0.0,0.0
839623fffffffff,17.0,0.0,3.0
839626fffffffff,12.0,0.0,0.0
839628fffffffff,12.0,0.0,0.0
83962bfffffffff,6.0,0.0,0.0
83962cfffffffff,23.0,0.0,3.0
83962dfffffffff,4.0,0.0,4.0
83962efffffffff,9.0,0.0,5.0
839633fffffffff,22.0,0.0,3.0
839636fffffffff,9.0,0.0,0.0
839672fffffffff,2.0,0.0,1.0
839673fffffffff,1.0,0.0,0.0
839675fffffffff,2.0,0.0,0.0
839684fffffffff,1.0,0.0,0.0
83968cfffffffff,1.0,0.0,0.0
839690fffffffff,15.0,0.0,0.0
839692fffffffff,84.0,0.0,0.0
839693fffffffff,15.0,0.0,0.0
83969afffffffff,2.0,0.0,0.0
8396a0fffffffff,2.0,0.0,0.0
8396a2fffffffff,2.0,0.0,0.0
8396a5fffffffff,2.0,0.0,0.0
8396b0fffffffff,11.0,0.0,0.0
8396b1fffffffff,5.0,0.0,0.0
8396b2fffffffff,1.0,0.0,0.0
8396b4fffffffff,8.0,0.0,0.0
8396b6fffffffff,8.0,0.0,0.0
839701fffffffff,1.0,0.0,0.0
839702fffffffff,16.0,0.0,0.0
839703fffffffff,37.0,0.0,6.0
839705fffffffff,4.0,0.0,0.0
839706fffffffff,2.0,0.0,0.0
839708fffffffff,2.0,0.0,0.0
83970afffffffff,4.0,0.0,0.0
83970cfffffffff,2.0,0.0,0.0
839710fffffffff,58.0,0.0,0.0
839711fffffffff,132.0,0.0,0.0
839713fffffffff,6.0,0.0,0.0
839715fffffffff,3.0,0.0,0.0
839719fffffffff,40.0,0.0,0.0
83971bfffffffff,2.0,0.0,0.0
83971cfffffffff,18.0,0.0,4.0
83971dfffffffff,3.0,0.0,0.0
839721fffffffff,2.0,0.0,0.0
839724fffffffff,5.0,0.0,0.0
839725fffffffff,2.0,0.0,0.0
839728fffffffff,38.0,0.0,10.0
839729fffffffff,29.0,0.0,0.0
83972afffffffff,2.0,0.0,0.0
83972cfffffffff,62.0,0.0,15.0
83972dfffffffff,19.0,0.0,2.0
83972efffffffff,111.0,0.0,24.0
839731fffffffff,4.0,0.0,0.0
839735fffffffff,4.0,0.0,0.0
839740fffffffff,2.0,0.0,0.0
839741fffffffff,50.0,0.0,6.0
839743fffffffff,54.0,0.0,0.0
839746fffffffff,1.0,0.0,0.0
839748fffffffff,7.0,0.0,0.0
83974afffffffff,278.0,0.0,62.0
83974bfffffffff,35.0,0.0,6.0
83974efffffffff,53.0,0.0,18.0
839750fffffffff,5.0,0.0,0.0
839751fffffffff,116.0,0.0,0.0
839753fffffffff,2.0,0.0,2.0
839754fffffffff,6.0,0.0,0.0
839755fffffffff,5.0,0.0,0.0
83975cfffffffff,56.0,0.0,2.0
83975dfffffffff,23.0,0.0,0.0
83975efffffffff,11.0,0.0,2.0
839768fffffffff,11.0,0.0,0.0
839770fffffffff,2.0,0.0,0.0
839771fffffffff,2.0,0.0,0.0
839772fffffffff,1.0,0.0,0.0
839773fffffffff,4.0,0.0,0.0
839775fffffffff,2.0,0.0,0.0
839788fffffffff,2.0,0.0,0.0
83978bfffffffff,8.0,0.0,0.0
83978dfffffffff,3.0,0.0,2.0
83978efffffffff,1.0,0.0,0.0
839791fffffffff,5.0,0.0,0.0
83979efffffffff,3.0,0.0,0.0
8397a8fffffffff,19.0,0.0,0.0
8397aafffffffff,5.0,0.0,2.0
83ac80fffffffff,10.0,0.0,0.0
83ac81fffffffff,15.0,0.0,0.0
83ac85fffffffff,8.0,0.0,7.0
83ac86fffffffff,69.0,0.0,8.0
83ac8afffffffff,22.0,0.0,3.0
83ac8efffffffff,4.0,0.0,0.0
83ac95fffffffff,3.0,0.0,0.0
83ac96fffffffff,28.0,0.0,0.0
83aca0fffffffff,6.0,0.0,0.0
83aca2fffffffff,8.0,0.0,4.0
83aca3fffffffff,35.0,0.0,8.0
