cell_id,Eurypyga helias,Eurypyga helias major/meridionalis,Eurypyga helias helias
8466137ffffffff,2.0,0.0,0.0
84661b1ffffffff,12.0,0.0,0.0
84661d3ffffffff,1.0,0.0,0.0
84661d9ffffffff,1.0,0.0,0.0
8466727ffffffff,2.0,0.0,0.0
8466a01ffffffff,5.0,0.0,0.0
8466a05ffffffff,17.0,0.0,0.0
8466a0bffffffff,7.0,0.0,0.0
8466a33ffffffff,2.0,0.0,0.0
8466b41ffffffff,3.0,0.0,0.0
8466b43ffffffff,4.0,0.0,0.0
8466b45ffffffff,2.0,0.0,0.0
8466b49ffffffff,2.0,0.0,0.0
8466b51ffffffff,2.0,0.0,0.0
8466b57ffffffff,2.0,0.0,0.0
8466c41ffffffff,1.0,0.0,0.0
8466c49ffffffff,2.0,0.0,0.0
8466c4dffffffff,4.0,0.0,0.0
8466d31ffffffff,1.0,0.0,0.0
8466dd3ffffffff,2.0,0.0,0.0
8466de3ffffffff,2.0,0.0,0.0
8466e23ffffffff,2.0,0.0,0.0
8466e2bffffffff,4.0,0.0,0.0
8467599ffffffff,2.0,0.0,0.0
84679a5ffffffff,6.0,0.0,0.0
84679adffffffff,1.0,1.0,0.0
846d681ffffffff,3.0,0.0,0.0
846d685ffffffff,2.0,0.0,0.0
846d68bffffffff,7.0,0.0,0.0
846d68dffffffff,1.0,0.0,0.0
846d691ffffffff,5.0,0.0,0.0
846d693ffffffff,13.0,0.0,0.0
846d697ffffffff,30.0,0.0,0.0
846d69bffffffff,3.0,0.0,0.0
848b637ffffffff,1.0,0.0,0.0
848f0dbffffffff,5.0,0.0,0.0
848f295ffffffff,12.0,0.0,0.0
848f2c1ffffffff,1.0,0.0,0.0
848f2cdffffffff,17.0,0.0,0.0
84a8599ffffffff,4.0,0.0,0.0
