cell_id,Ptilinopus ornatus,Ptilinopus ornatus ornatus,Ptilinopus ornatus gestroi
84729dbffffffff,9.0,0.0,0.0
8472a07ffffffff,7.0,7.0,0.0
8472a2bffffffff,74.0,20.0,0.0
8472b57ffffffff,1.0,0.0,0.0
8472d23ffffffff,2.0,0.0,0.0
8472d29ffffffff,1.0,0.0,0.0
8472d35ffffffff,3.0,0.0,0.0
8472d3dffffffff,1.0,0.0,0.0
8472d5dffffffff,2.0,0.0,0.0
8472d97ffffffff,1.0,0.0,0.0
8472dabffffffff,1.0,0.0,0.0
8472db3ffffffff,15.0,0.0,0.0
8472db7ffffffff,1.0,0.0,0.0
8472dbbffffffff,3.0,0.0,0.0
8472debffffffff,2.0,0.0,0.0
8472f23ffffffff,8.0,0.0,0.0
8472f37ffffffff,1.0,0.0,0.0
84739b5ffffffff,1.0,0.0,0.0
849c851ffffffff,3.0,0.0,0.0
849c85bffffffff,19.0,0.0,1.0
849c8a3ffffffff,2.0,0.0,0.0
849c8b5ffffffff,1.0,0.0,0.0
849c8bdffffffff,5.0,0.0,0.0
849c8e9ffffffff,2.0,0.0,0.0
849c8edffffffff,2.0,0.0,0.0
849c993ffffffff,6.0,0.0,0.0
849c9c3ffffffff,1.0,0.0,0.0
849c9d1ffffffff,1.0,0.0,0.0
849c9d3ffffffff,1.0,0.0,0.0
849c9d5ffffffff,7.0,0.0,0.0
849c9d9ffffffff,4.0,0.0,0.0
849c9ddffffffff,8.0,0.0,0.0
849caa5ffffffff,1.0,0.0,0.0
849caadffffffff,2.0,0.0,0.0
849cd2dffffffff,8.0,0.0,0.0
849cd31ffffffff,15.0,0.0,0.0
849cd33ffffffff,9.0,0.0,0.0
849d9b3ffffffff,1.0,0.0,0.0
