cell_id,Thraupis episcopus,Thraupis episcopus [cana Group],Thraupis episcopus [episcopus Group]
832834fffffffff,14.0,0.0,6.0
8344aefffffffff,17.0,0.0,10.0
834505fffffffff,16.0,0.0,0.0
83450efffffffff,2.0,0.0,0.0
834520fffffffff,2.0,0.0,0.0
834521fffffffff,7.0,4.0,0.0
834525fffffffff,2.0,2.0,0.0
83452afffffffff,13.0,0.0,0.0
83452dfffffffff,1.0,0.0,0.0
83452efffffffff,9.0,0.0,0.0
834993fffffffff,3.0,0.0,0.0
834996fffffffff,9.0,5.0,0.0
834998fffffffff,2.0,1.0,0.0
8349a2fffffffff,4.0,0.0,0.0
8349a9fffffffff,4.0,0.0,0.0
8349b0fffffffff,2.0,0.0,0.0
8349b2fffffffff,2.0,2.0,0.0
8349b5fffffffff,5.0,0.0,0.0
835f58fffffffff,25.0,25.0,0.0
835f5bfffffffff,29.0,16.0,0.0
836608fffffffff,13.0,0.0,0.0
836610fffffffff,2.0,0.0,0.0
836619fffffffff,17.0,0.0,0.0
8366a5fffffffff,5.0,1.0,0.0
8366b0fffffffff,3.0,2.0,0.0
8366b1fffffffff,1.0,0.0,0.0
8366b4fffffffff,34.0,13.0,0.0
8366b5fffffffff,13.0,2.0,0.0
8366b6fffffffff,2.0,0.0,0.0
8366c0fffffffff,5.0,0.0,3.0
8366c2fffffffff,1.0,0.0,0.0
8366d3fffffffff,21.0,10.0,0.0
8366d5fffffffff,14.0,0.0,0.0
8366dafffffffff,2.0,0.0,2.0
8366dcfffffffff,1.0,0.0,1.0
8366defffffffff,22.0,0.0,15.0
8366e0fffffffff,6.0,0.0,6.0
8366e5fffffffff,3.0,0.0,3.0
8366e6fffffffff,6.0,0.0,0.0
8366eefffffffff,1.0,0.0,1.0
8366f0fffffffff,3.0,1.0,0.0
8366f1fffffffff,7.0,0.0,0.0
8366f5fffffffff,1.0,0.0,0.0
836741fffffffff,58.0,1.0,0.0
836743fffffffff,5.0,0.0,0.0
83674cfffffffff,3.0,0.0,0.0
836759fffffffff,2.0,2.0,0.0
83675cfffffffff,42.0,0.0,0.0
83679afffffffff,11.0,5.0,0.0
83679bfffffffff,2.0,0.0,0.0
836d20fffffffff,2.0,2.0,0.0
836d22fffffffff,2.0,2.0,0.0
836d23fffffffff,9.0,0.0,0.0
836d25fffffffff,3.0,3.0,0.0
836d28fffffffff,4.0,2.0,0.0
836d2afffffffff,2.0,2.0,0.0
836d2bfffffffff,3.0,0.0,0.0
836d2cfffffffff,29.0,29.0,0.0
836d32fffffffff,11.0,0.0,0.0
836d33fffffffff,6.0,0.0,0.0
836d68fffffffff,4.0,0.0,0.0
836d69fffffffff,144.0,124.0,0.0
836d6dfffffffff,1.0,0.0,0.0
838a45fffffffff,4.0,0.0,0.0
838a69fffffffff,1.0,0.0,0.0
838a80fffffffff,2.0,0.0,2.0
838af2fffffffff,5.0,0.0,5.0
838af6fffffffff,7.0,0.0,7.0
838b61fffffffff,9.0,0.0,9.0
838b74fffffffff,1.0,0.0,0.0
838b76fffffffff,1.0,0.0,0.0
838e62fffffffff,16.0,12.0,1.0
838e64fffffffff,2.0,0.0,2.0
838e65fffffffff,16.0,0.0,16.0
838f0dfffffffff,7.0,7.0,0.0
838f28fffffffff,4.0,4.0,0.0
838f29fffffffff,8.0,1.0,7.0
838f2afffffffff,7.0,6.0,0.0
838f2bfffffffff,2.0,0.0,0.0
838f2dfffffffff,9.0,0.0,9.0
838f4bfffffffff,8.0,0.0,0.0
838f72fffffffff,2.0,0.0,2.0
838f76fffffffff,3.0,3.0,0.0
