cell_id,Cacicus chrysonotus,Cacicus chrysonotus leucoramphus/peruvianus,Cacicus chrysonotus chrysonotus
836608fffffffff,110.0,6.0,0.0
836609fffffffff,58.0,0.0,0.0
83660bfffffffff,144.0,0.0,0.0
83660cfffffffff,76.0,1.0,0.0
83660dfffffffff,6.0,0.0,0.0
836618fffffffff,327.0,11.0,0.0
836619fffffffff,345.0,3.0,0.0
83661bfffffffff,1190.0,76.0,0.0
83661dfffffffff,43.0,10.0,0.0
83665afffffffff,1.0,0.0,0.0
8366c0fffffffff,16.0,0.0,0.0
8366c2fffffffff,287.0,6.0,0.0
8366c4fffffffff,10.0,0.0,0.0
8366c6fffffffff,102.0,2.0,0.0
8366d1fffffffff,12.0,2.0,0.0
8366d5fffffffff,17.0,1.0,0.0
8366defffffffff,2436.0,454.0,0.0
8366e0fffffffff,241.0,15.0,0.0
8366e2fffffffff,1.0,0.0,0.0
8366e4fffffffff,408.0,25.0,0.0
8366e5fffffffff,396.0,22.0,0.0
8366e6fffffffff,1005.0,31.0,0.0
8366eefffffffff,4.0,0.0,0.0
8366f1fffffffff,305.0,8.0,0.0
8366f3fffffffff,8.0,0.0,0.0
8366f5fffffffff,132.0,0.0,0.0
838b2cfffffffff,87.0,0.0,13.0
838b60fffffffff,1.0,0.0,0.0
838b61fffffffff,612.0,0.0,15.0
838b63fffffffff,1.0,0.0,0.0
838b6cfffffffff,113.0,0.0,0.0
838b75fffffffff,17.0,0.0,0.0
838e61fffffffff,3.0,0.0,0.0
838e64fffffffff,18.0,0.0,0.0
838e65fffffffff,24.0,0.0,0.0
838e6cfffffffff,3.0,0.0,0.0
838e6dfffffffff,37.0,0.0,0.0
838f29fffffffff,5.0,0.0,0.0
838f2dfffffffff,101.0,7.0,0.0
838f42fffffffff,101.0,38.0,0.0
838f46fffffffff,55.0,2.0,0.0
838f4afffffffff,24.0,5.0,0.0
838f51fffffffff,2.0,0.0,0.0
838f54fffffffff,2.0,0.0,0.0
838f55fffffffff,134.0,18.0,0.0
838f59fffffffff,24.0,3.0,0.0
838f5cfffffffff,10.0,0.0,0.0
838f5dfffffffff,6.0,0.0,0.0
838f72fffffffff,58.0,8.0,0.0
838f73fffffffff,77.0,14.0,0.0
838f74fffffffff,11.0,0.0,0.0
838f76fffffffff,79.0,30.0,0.0
83b321fffffffff,17.0,0.0,0.0
83b324fffffffff,6.0,0.0,0.0
83b325fffffffff,62.0,0.0,11.0
