cell_id,Cyanoderma rufifrons,Cyanoderma rufifrons [ambiguum Group],Cyanoderma rufifrons [rufifrons Group]
833c52fffffffff,51.0,51.0,0.0
833c8cfffffffff,8.0,8.0,0.0
833c92fffffffff,5.0,5.0,0.0
833cc0fffffffff,2.0,2.0,0.0
833cc3fffffffff,1.0,1.0,0.0
833cc5fffffffff,13.0,13.0,0.0
833ceafffffffff,3.0,3.0,0.0
833cecfffffffff,7.0,7.0,0.0
83404dfffffffff,4.0,4.0,0.0
836491fffffffff,1.0,1.0,0.0
8364b2fffffffff,1.0,1.0,0.0
836500fffffffff,11.0,0.0,11.0
836502fffffffff,13.0,0.0,13.0
836505fffffffff,11.0,0.0,11.0
836518fffffffff,5.0,0.0,5.0
83651cfffffffff,2.0,0.0,2.0
83651dfffffffff,11.0,0.0,11.0
83652dfffffffff,1.0,0.0,1.0
836592fffffffff,1.0,1.0,0.0
