cell_id,Sylvia abyssinica,Sylvia abyssinica monachus,Sylvia abyssinica claudei,Sylvia abyssinica stierlingi,Sylvia abyssinica abyssinica/stictigula
825287fffffffff,2.0,0.0,0.0,0.0,0.0
82529ffffffffff,4.0,0.0,0.0,0.0,0.0
8258c7fffffffff,1.0,0.0,0.0,0.0,0.0
826a5ffffffffff,1.0,0.0,0.0,0.0,0.0
826ad7fffffffff,1.0,0.0,0.0,0.0,0.0
826aeffffffffff,1.0,0.0,0.0,0.0,0.0
827a47fffffffff,273.0,0.0,0.0,0.0,0.0
827a4ffffffffff,52.0,0.0,0.0,0.0,4.0
827a67fffffffff,16.0,0.0,0.0,0.0,0.0
827a6ffffffffff,87.0,0.0,0.0,0.0,0.0
827acffffffffff,114.0,0.0,0.0,0.0,33.0
827aeffffffffff,4.0,0.0,0.0,0.0,0.0
827b4ffffffffff,113.0,0.0,0.0,0.0,0.0
8282d7fffffffff,51.0,18.0,16.0,0.0,0.0
828327fffffffff,1.0,0.0,0.0,0.0,0.0
828337fffffffff,13.0,0.0,0.0,0.0,0.0
82968ffffffffff,4.0,0.0,0.0,0.0,0.0
829697fffffffff,64.0,0.0,0.0,0.0,0.0
8296a7fffffffff,2.0,0.0,0.0,0.0,0.0
8296b7fffffffff,36.0,0.0,0.0,0.0,0.0
8296d7fffffffff,2.0,0.0,0.0,0.0,0.0
82978ffffffffff,6.0,0.0,0.0,0.0,0.0
