cell_id,Pycnonotus sinensis,Pycnonotus sinensis sinensis,Pycnonotus sinensis hainanus,Pycnonotus sinensis formosae/orii
82248ffffffffff,2.0,0.0,0.0,0.0
8224d7fffffffff,2.0,0.0,0.0,0.0
82301ffffffffff,13.0,0.0,0.0,0.0
823037fffffffff,6.0,6.0,0.0,0.0
823087fffffffff,4.0,0.0,0.0,0.0
823097fffffffff,2.0,0.0,0.0,0.0
82309ffffffffff,121.0,0.0,0.0,0.0
8230a7fffffffff,4.0,0.0,0.0,0.0
8230e7fffffffff,4.0,0.0,0.0,0.0
8230effffffffff,1.0,0.0,0.0,0.0
82318ffffffffff,10.0,0.0,0.0,0.0
824007fffffffff,4.0,4.0,0.0,0.0
82408ffffffffff,2.0,0.0,0.0,0.0
8240b7fffffffff,3.0,3.0,0.0,0.0
8240e7fffffffff,4.0,4.0,0.0,0.0
824107fffffffff,2.0,2.0,0.0,0.0
824187fffffffff,6.0,6.0,0.0,0.0
824197fffffffff,7.0,0.0,0.0,0.0
8241a7fffffffff,15.0,10.0,0.0,0.0
8241b7fffffffff,25.0,6.0,0.0,0.0
824a27fffffffff,4.0,0.0,0.0,0.0
824b27fffffffff,4.0,0.0,0.0,0.0
824b9ffffffffff,7.0,0.0,0.0,0.0
824ba7fffffffff,249.0,0.0,0.0,2.0
824baffffffffff,2.0,0.0,0.0,2.0
824bb7fffffffff,176.0,0.0,0.0,0.0
