cell_id,Hylopezus perspicillatus,Hylopezus perspicillatus intermedius,Hylopezus perspicillatus lizanoi,Hylopezus perspicillatus perspicillatus,Hylopezus perspicillatus periophthalmicus,Hylopezus perspicillatus pallidior
8445305ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
844532bffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8445363ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8445365ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8445367ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84660a7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8466107ffffffff,5.0,0.0,0.0,1.0,0.0,0.0
8466115ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466117ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8466131ffffffff,50.0,0.0,0.0,17.0,0.0,0.0
8466139ffffffff,65.0,0.0,0.0,17.0,0.0,0.0
846613bffffffff,13.0,0.0,0.0,0.0,0.0,0.0
8466163ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8466165ffffffff,121.0,0.0,0.0,34.0,0.0,0.0
846619bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84661a5ffffffff,27.0,0.0,0.0,0.0,0.0,0.0
84661a7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84661adffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8466a01ffffffff,57.0,0.0,0.0,0.0,0.0,0.0
8466a05ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8466a0bffffffff,126.0,0.0,0.0,0.0,0.0,0.0
8466a51ffffffff,1823.0,0.0,0.0,140.0,0.0,0.0
8466a57ffffffff,87.0,0.0,0.0,0.0,0.0,0.0
8466a59ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8466a5bffffffff,6.0,0.0,0.0,2.0,0.0,0.0
8466a5dffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8466a65ffffffff,3.0,2.0,0.0,0.0,0.0,0.0
8466b01ffffffff,198.0,0.0,0.0,0.0,0.0,0.0
8466b09ffffffff,68.0,0.0,0.0,0.0,0.0,0.0
8466b0bffffffff,120.0,0.0,0.0,0.0,0.0,0.0
8466b41ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466b43ffffffff,98.0,0.0,0.0,0.0,0.0,0.0
8466b45ffffffff,26.0,0.0,0.0,0.0,0.0,0.0
8466b47ffffffff,70.0,0.0,0.0,0.0,0.0,0.0
8466b49ffffffff,17.0,0.0,0.0,0.0,0.0,0.0
8466b51ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8466b55ffffffff,21.0,0.0,0.0,0.0,0.0,0.0
8466b59ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466b5bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8466b5dffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8466d01ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8466d05ffffffff,1.0,0.0,0.0,0.0,1.0,0.0
8466d07ffffffff,54.0,0.0,0.0,0.0,8.0,0.0
8466d23ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8466e41ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8466f03ffffffff,35.0,0.0,0.0,0.0,0.0,0.0
8466f0bffffffff,96.0,0.0,0.0,0.0,1.0,0.0
84679a5ffffffff,32.0,0.0,0.0,0.0,0.0,0.0
84679a7ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84679b3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84679b7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
846d68bffffffff,9.0,0.0,0.0,0.0,0.0,0.0
846d693ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
846d697ffffffff,1632.0,0.0,0.0,0.0,0.0,0.0
846d699ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846d69bffffffff,185.0,0.0,0.0,0.0,0.0,0.0
846d69dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846d6d3ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
