cell_id,Catharus ustulatus,Catharus ustulatus [ustulatus Group],Catharus ustulatus [swainsoni Group]
820c07fffffffff,255.0,0.0,0.0
820c0ffffffffff,24.0,0.0,0.0
820c1ffffffffff,7.0,0.0,0.0
820c27fffffffff,189.0,0.0,0.0
820c2ffffffffff,261.0,0.0,0.0
820c37fffffffff,1.0,0.0,0.0
820c47fffffffff,509.0,0.0,0.0
820c57fffffffff,535.0,0.0,2.0
820c67fffffffff,509.0,0.0,0.0
820c6ffffffffff,2.0,0.0,0.0
820c77fffffffff,3749.0,0.0,236.0
820cdffffffffff,1.0,0.0,0.0
820ce7fffffffff,3.0,0.0,0.0
820ceffffffffff,19.0,0.0,0.0
820d07fffffffff,5.0,0.0,0.0
820d1ffffffffff,2.0,0.0,0.0
820d47fffffffff,220.0,0.0,0.0
820d4ffffffffff,212.0,0.0,4.0
820d57fffffffff,355.0,0.0,0.0
820d5ffffffffff,1697.0,0.0,36.0
820d67fffffffff,29.0,0.0,0.0
820d6ffffffffff,33.0,0.0,0.0
820e47fffffffff,8.0,0.0,0.0
820e4ffffffffff,1689.0,0.0,0.0
820e57fffffffff,30.0,0.0,0.0
820e5ffffffffff,99.0,0.0,0.0
820e67fffffffff,11.0,0.0,0.0
820e6ffffffffff,34.0,0.0,0.0
820e87fffffffff,8.0,0.0,0.0
820e8ffffffffff,54.0,0.0,0.0
820e97fffffffff,20.0,0.0,0.0
820e9ffffffffff,13.0,0.0,0.0
820ec7fffffffff,255.0,0.0,0.0
820ecffffffffff,1123.0,0.0,84.0
820ed7fffffffff,53.0,0.0,0.0
820edffffffffff,61.0,0.0,0.0
820ee7fffffffff,2.0,0.0,0.0
820eeffffffffff,1468.0,0.0,3.0
820ef7fffffffff,19.0,0.0,0.0
82120ffffffffff,48.0,0.0,0.0
821217fffffffff,107.0,0.0,0.0
82121ffffffffff,734.0,0.0,6.0
821227fffffffff,10.0,0.0,0.0
82122ffffffffff,14.0,0.0,0.0
821237fffffffff,79.0,0.0,0.0
821247fffffffff,23.0,0.0,0.0
82124ffffffffff,22.0,0.0,0.0
821257fffffffff,1043.0,0.0,100.0
82125ffffffffff,361.0,0.0,1.0
821267fffffffff,16.0,0.0,0.0
82126ffffffffff,17.0,0.0,0.0
821277fffffffff,502.0,0.0,40.0
821287fffffffff,577.0,0.0,0.0
82128ffffffffff,1081.0,0.0,0.0
821297fffffffff,84.0,0.0,0.0
82129ffffffffff,341.0,4.0,0.0
8212a7fffffffff,81.0,1.0,0.0
8212affffffffff,987.0,0.0,25.0
8212b7fffffffff,580.0,0.0,0.0
8212c7fffffffff,2554.0,0.0,13.0
8212cffffffffff,6745.0,0.0,63.0
8212d7fffffffff,1803.0,0.0,0.0
8212dffffffffff,4906.0,0.0,176.0
8212e7fffffffff,265.0,0.0,1.0
8212effffffffff,969.0,0.0,9.0
8212f7fffffffff,1056.0,0.0,4.0
821307fffffffff,9.0,0.0,0.0
821317fffffffff,16.0,0.0,0.0
82131ffffffffff,1.0,0.0,0.0
821357fffffffff,147.0,0.0,0.0
821387fffffffff,1647.0,0.0,0.0
82138ffffffffff,592.0,0.0,0.0
821397fffffffff,346.0,0.0,0.0
82139ffffffffff,317.0,0.0,0.0
8213a7fffffffff,32.0,0.0,0.0
8213affffffffff,10.0,0.0,0.0
8213b7fffffffff,227.0,0.0,0.0
821aa7fffffffff,30.0,0.0,0.0
821ab7fffffffff,16.0,0.0,0.0
821b87fffffffff,42.0,0.0,0.0
821b97fffffffff,38.0,0.0,0.0
821b9ffffffffff,545.0,0.0,0.0
821bb7fffffffff,17.0,0.0,0.0
