cell_id,Aerodramus brevirostris,Aerodramus brevirostris brevirostris/innominatus,Aerodramus brevirostris rogersi
823087fffffffff,16.0,0.0,0.0
82309ffffffffff,63.0,0.0,0.0
823c07fffffffff,141.0,11.0,0.0
823c0ffffffffff,395.0,30.0,0.0
823c17fffffffff,4.0,0.0,0.0
823c1ffffffffff,307.0,2.0,0.0
823c37fffffffff,125.0,5.0,0.0
823c47fffffffff,4.0,2.0,0.0
823c57fffffffff,348.0,0.0,0.0
823c5ffffffffff,605.0,1.0,0.0
823c77fffffffff,3.0,0.0,0.0
823cc7fffffffff,24.0,0.0,0.0
823ccffffffffff,3.0,0.0,0.0
823cd7fffffffff,15.0,0.0,0.0
823cdffffffffff,26.0,0.0,0.0
823ce7fffffffff,317.0,35.0,0.0
823ceffffffffff,120.0,0.0,0.0
823d17fffffffff,341.0,0.0,0.0
823d1ffffffffff,146.0,0.0,0.0
823d37fffffffff,11.0,0.0,0.0
823daffffffffff,338.0,5.0,0.0
82400ffffffffff,2.0,0.0,0.0
82401ffffffffff,2.0,0.0,0.0
82402ffffffffff,4.0,0.0,0.0
824047fffffffff,14.0,5.0,0.0
82404ffffffffff,15.0,0.0,0.0
824057fffffffff,8.0,0.0,0.0
82405ffffffffff,22.0,8.0,0.0
824067fffffffff,20.0,0.0,0.0
82406ffffffffff,6.0,0.0,0.0
824077fffffffff,3.0,2.0,0.0
8240affffffffff,3.0,0.0,0.0
8240c7fffffffff,10.0,0.0,0.0
8240e7fffffffff,32.0,1.0,0.0
8240effffffffff,81.0,6.0,0.0
8240f7fffffffff,3.0,0.0,0.0
824107fffffffff,2.0,0.0,0.0
82411ffffffffff,42.0,2.0,0.0
824147fffffffff,2.0,0.0,0.0
82414ffffffffff,26.0,0.0,0.0
824157fffffffff,4.0,0.0,0.0
82415ffffffffff,4.0,0.0,0.0
824167fffffffff,5.0,0.0,0.0
82416ffffffffff,16.0,4.0,1.0
8241b7fffffffff,4.0,0.0,0.0
824b37fffffffff,17.0,0.0,0.0
826417fffffffff,310.0,10.0,0.0
826487fffffffff,395.0,15.0,10.0
82648ffffffffff,8.0,0.0,0.0
826497fffffffff,490.0,19.0,25.0
82649ffffffffff,56.0,4.0,0.0
8264a7fffffffff,59.0,0.0,0.0
8264b7fffffffff,52.0,1.0,0.0
826507fffffffff,25.0,0.0,0.0
826527fffffffff,4.0,0.0,0.0
826587fffffffff,47.0,0.0,14.0
82658ffffffffff,7.0,0.0,0.0
826597fffffffff,18.0,0.0,3.0
82659ffffffffff,405.0,91.0,0.0
8265a7fffffffff,11.0,0.0,0.0
8265b7fffffffff,70.0,0.0,4.0
826937fffffffff,3.0,0.0,0.0
