cell_id,Cinnyris sovimanga,Cinnyris sovimanga aldabrensis,Cinnyris sovimanga sovimanga,Cinnyris sovimanga apolis,Cinnyris sovimanga abbotti/buchenorum
847b2c9ffffffff,2.0,0.0,0.0,0.0,0.0
847b2d1ffffffff,1.0,0.0,0.0,0.0,0.0
847b2d3ffffffff,6.0,0.0,0.0,0.0,0.0
84a2049ffffffff,12.0,0.0,0.0,0.0,0.0
84a204dffffffff,1.0,0.0,0.0,0.0,0.0
84a210dffffffff,2.0,0.0,0.0,0.0,0.0
84a2129ffffffff,7.0,0.0,0.0,0.0,0.0
84a213dffffffff,1.0,0.0,0.0,0.0,0.0
84a2143ffffffff,601.0,0.0,0.0,0.0,0.0
84a2147ffffffff,56.0,0.0,0.0,0.0,0.0
84a214bffffffff,13.0,0.0,0.0,0.0,0.0
84a215dffffffff,16.0,0.0,0.0,0.0,0.0
84a2163ffffffff,2.0,0.0,0.0,0.0,0.0
84a2165ffffffff,2.0,0.0,0.0,0.0,0.0
84a216bffffffff,2.0,0.0,0.0,0.0,0.0
84a2219ffffffff,2.0,0.0,0.0,0.0,0.0
84a221dffffffff,2.0,0.0,0.0,0.0,0.0
84a2225ffffffff,2.0,0.0,0.0,0.0,0.0
84a2227ffffffff,369.0,0.0,0.0,0.0,0.0
84a2235ffffffff,13.0,0.0,0.0,0.0,0.0
84a223dffffffff,2.0,0.0,0.0,0.0,0.0
84a2307ffffffff,9.0,0.0,0.0,0.0,0.0
84a2315ffffffff,2.0,0.0,0.0,0.0,0.0
84a2319ffffffff,19.0,0.0,0.0,0.0,0.0
84a231bffffffff,719.0,0.0,0.0,0.0,0.0
84a231dffffffff,5.0,0.0,0.0,0.0,0.0
84a2335ffffffff,3.0,0.0,0.0,0.0,0.0
84a233dffffffff,1.0,0.0,0.0,0.0,0.0
84a2347ffffffff,1.0,0.0,0.0,0.0,0.0
84a2353ffffffff,23.0,0.0,0.0,0.0,0.0
84a2357ffffffff,137.0,0.0,0.0,0.0,0.0
84a2359ffffffff,4.0,0.0,0.0,0.0,0.0
84a2a3bffffffff,3.0,0.0,0.0,0.0,0.0
84a2a49ffffffff,140.0,0.0,0.0,0.0,0.0
84a2a4dffffffff,1.0,0.0,0.0,0.0,0.0
84a2a69ffffffff,13.0,0.0,0.0,0.0,0.0
84a2ae1ffffffff,13.0,0.0,0.0,0.0,0.0
84a2ae9ffffffff,19.0,0.0,0.0,0.0,0.0
84a2aedffffffff,132.0,0.0,0.0,0.0,0.0
84a3083ffffffff,2.0,0.0,0.0,0.0,0.0
84a3085ffffffff,5.0,0.0,0.0,0.0,0.0
84a3087ffffffff,1.0,0.0,0.0,0.0,0.0
84a308bffffffff,55.0,0.0,0.0,0.0,0.0
84a3091ffffffff,11.0,0.0,0.0,0.0,0.0
84a3093ffffffff,29.0,0.0,0.0,0.0,0.0
84a30a5ffffffff,1.0,0.0,0.0,0.0,0.0
84a30c3ffffffff,21.0,0.0,0.0,0.0,0.0
84a30cbffffffff,13.0,0.0,0.0,0.0,0.0
84a30d5ffffffff,3.0,0.0,0.0,0.0,0.0
84a30ddffffffff,46.0,0.0,0.0,0.0,0.0
84a30e7ffffffff,10.0,0.0,0.0,0.0,0.0
84a3189ffffffff,8.0,0.0,0.0,0.0,0.0
84a318bffffffff,2.0,0.0,0.0,0.0,0.0
84a318dffffffff,7.0,0.0,0.0,0.0,0.0
84a3191ffffffff,19.0,0.0,0.0,0.0,0.0
84a3199ffffffff,9.0,0.0,0.0,0.0,0.0
84a319dffffffff,366.0,0.0,0.0,0.0,0.0
84a31b1ffffffff,1.0,0.0,0.0,0.0,0.0
84a31b3ffffffff,4.0,0.0,0.0,0.0,0.0
84a31bbffffffff,12.0,0.0,0.0,0.0,0.0
84a31c7ffffffff,3.0,0.0,0.0,0.0,0.0
84a31d5ffffffff,35.0,0.0,0.0,0.0,0.0
84a3565ffffffff,30.0,0.0,0.0,0.0,0.0
84a3567ffffffff,132.0,0.0,0.0,0.0,0.0
84a356dffffffff,16.0,0.0,0.0,0.0,0.0
84a372dffffffff,1.0,0.0,0.0,0.0,0.0
84a3761ffffffff,21.0,0.0,0.0,0.0,0.0
84a3765ffffffff,27.0,0.0,0.0,0.0,0.0
84a3767ffffffff,2.0,0.0,0.0,0.0,0.0
84a3769ffffffff,1.0,0.0,0.0,0.0,0.0
84a38b3ffffffff,70.0,0.0,0.0,0.0,0.0
84a38b7ffffffff,113.0,0.0,0.0,0.0,0.0
84a38c7ffffffff,2.0,0.0,0.0,0.0,0.0
84a38cbffffffff,3.0,0.0,0.0,0.0,0.0
84a38ebffffffff,2.0,0.0,0.0,0.0,0.0
84a3993ffffffff,288.0,0.0,0.0,0.0,0.0
84a3997ffffffff,51.0,0.0,0.0,0.0,0.0
84a399bffffffff,473.0,0.0,0.0,0.0,0.0
84a39dbffffffff,26.0,0.0,0.0,0.0,0.0
84a3a95ffffffff,4.0,0.0,0.0,0.0,0.0
84a3ab3ffffffff,2.0,0.0,0.0,0.0,0.0
84a3ab7ffffffff,38.0,0.0,0.0,0.0,0.0
84a3ab9ffffffff,1.0,0.0,0.0,0.0,0.0
84a3abbffffffff,5.0,0.0,0.0,0.0,0.0
84a3ad7ffffffff,7.0,0.0,0.0,0.0,0.0
84a3addffffffff,2.0,0.0,0.0,0.0,0.0
