cell_id,Ducula pinon,Ducula pinon pinon/jobiensis,Ducula pinon salvadorii
849caa1ffffffff,1.0,0.0,0.0
849cb51ffffffff,8.0,0.0,8.0
849cb59ffffffff,2.0,0.0,1.0
849cd31ffffffff,8.0,0.0,0.0
849d9b3ffffffff,2.0,0.0,0.0
