cell_id,Campethera bennettii,Campethera bennettii bennettii,Campethera bennettii capricorni
826adffffffffff,6.0,0.0,0.0
828327fffffffff,9.0,0.0,0.0
8283a7fffffffff,2.0,0.0,0.0
8283affffffffff,3.0,0.0,0.0
829607fffffffff,16.0,2.0,0.0
82960ffffffffff,4.0,0.0,0.0
829617fffffffff,5.0,0.0,0.0
829627fffffffff,39.0,0.0,0.0
82962ffffffffff,16.0,6.0,0.0
829637fffffffff,25.0,8.0,0.0
829667fffffffff,4.0,0.0,0.0
829677fffffffff,2.0,0.0,0.0
82968ffffffffff,2.0,0.0,0.0
8296a7fffffffff,8.0,0.0,0.0
8296affffffffff,3.0,0.0,0.0
829707fffffffff,10.0,0.0,0.0
82970ffffffffff,1.0,0.0,0.0
829717fffffffff,1.0,0.0,0.0
82971ffffffffff,4.0,0.0,0.0
82972ffffffffff,117.0,39.0,0.0
829747fffffffff,166.0,0.0,9.0
82974ffffffffff,78.0,0.0,8.0
829757fffffffff,48.0,3.0,0.0
82975ffffffffff,125.0,0.0,9.0
82976ffffffffff,1.0,0.0,0.0
829777fffffffff,1.0,0.0,0.0
8297affffffffff,3.0,0.0,0.0
82ac8ffffffffff,15.0,0.0,0.0
82ac97fffffffff,1.0,0.0,0.0
82aca7fffffffff,6.0,0.0,0.0
82acb7fffffffff,1.0,0.0,0.0
82bcd7fffffffff,194.0,32.0,0.0
82bcdffffffffff,44.0,4.0,0.0
82bcf7fffffffff,14.0,6.0,0.0
