cell_id,Basileuterus culicivorus,Basileuterus culicivorus [culicivorus Group],Basileuterus culicivorus [cabanisi Group],Basileuterus culicivorus [auricapilla Group],Basileuterus culicivorus hypoleucus
82268ffffffffff,57.0,0.0,0.0,0.0,0.0
82446ffffffffff,17.0,0.0,0.0,0.0,0.0
82450ffffffffff,22.0,0.0,0.0,0.0,0.0
824527fffffffff,52.0,0.0,0.0,0.0,0.0
82452ffffffffff,20.0,11.0,0.0,0.0,0.0
824897fffffffff,120.0,0.0,0.0,0.0,0.0
8248b7fffffffff,1282.0,17.0,0.0,0.0,0.0
8248d7fffffffff,4.0,0.0,0.0,0.0,0.0
824997fffffffff,18.0,1.0,0.0,0.0,0.0
82499ffffffffff,5.0,3.0,0.0,0.0,0.0
8249a7fffffffff,2.0,0.0,0.0,0.0,0.0
825f47fffffffff,5.0,0.0,0.0,0.0,0.0
825f5ffffffffff,6.0,0.0,0.0,6.0,0.0
82661ffffffffff,2.0,0.0,0.0,0.0,0.0
8266a7fffffffff,9.0,0.0,0.0,0.0,0.0
8266b7fffffffff,16.0,2.0,0.0,0.0,0.0
8266e7fffffffff,2.0,0.0,0.0,0.0,0.0
82674ffffffffff,8.0,0.0,0.0,0.0,0.0
82675ffffffffff,4.0,0.0,0.0,0.0,0.0
826d17fffffffff,7.0,2.0,0.0,0.0,0.0
826d27fffffffff,7.0,0.0,0.0,0.0,0.0
826d2ffffffffff,16.0,8.0,0.0,0.0,0.0
826d37fffffffff,1.0,0.0,0.0,0.0,0.0
826d6ffffffffff,42.0,13.0,0.0,0.0,0.0
826d77fffffffff,4.0,0.0,0.0,0.0,0.0
828017fffffffff,2.0,0.0,0.0,2.0,0.0
828107fffffffff,1.0,0.0,0.0,1.0,0.0
828117fffffffff,1.0,0.0,0.0,1.0,0.0
828137fffffffff,4.0,0.0,0.0,4.0,0.0
828b0ffffffffff,2.0,0.0,0.0,0.0,0.0
82a807fffffffff,4.0,0.0,0.0,4.0,0.0
82a817fffffffff,5.0,0.0,0.0,5.0,0.0
82a837fffffffff,6.0,0.0,0.0,6.0,0.0
82a867fffffffff,2.0,0.0,0.0,0.0,2.0
82a887fffffffff,10.0,0.0,0.0,10.0,0.0
82a897fffffffff,2.0,0.0,0.0,2.0,0.0
82a8a7fffffffff,4.0,0.0,0.0,4.0,0.0
82a90ffffffffff,1.0,0.0,0.0,1.0,0.0
82a94ffffffffff,21.0,0.0,0.0,0.0,0.0
82a957fffffffff,6.0,0.0,0.0,3.0,0.0
82a967fffffffff,26.0,0.0,0.0,6.0,0.0
82a96ffffffffff,7.0,0.0,0.0,0.0,0.0
82b347fffffffff,19.0,0.0,0.0,0.0,0.0
82b34ffffffffff,2.0,0.0,0.0,0.0,0.0
82b35ffffffffff,1.0,0.0,0.0,1.0,0.0
82c2c7fffffffff,4.0,0.0,0.0,1.0,0.0
82c2cffffffffff,4.0,0.0,0.0,0.0,0.0
82c2e7fffffffff,1.0,0.0,0.0,0.0,0.0
