cell_id,Caprimulgus pectoralis,Caprimulgus pectoralis nigriscapularis,Caprimulgus pectoralis [pectoralis Group]
8254f7fffffffff,2.0,2.0,0.0
826acffffffffff,2.0,2.0,0.0
826adffffffffff,4.0,3.0,0.0
827a4ffffffffff,2.0,2.0,0.0
827b5ffffffffff,2.0,0.0,0.0
8282a7fffffffff,6.0,0.0,0.0
82972ffffffffff,1.0,0.0,1.0
82ad37fffffffff,3.0,0.0,2.0
82ad97fffffffff,2.0,0.0,0.0
82adaffffffffff,2.0,0.0,0.0
82bc47fffffffff,2.0,0.0,0.0
82bc6ffffffffff,14.0,0.0,0.0
82bcd7fffffffff,10.0,0.0,8.0
82bcf7fffffffff,6.0,0.0,0.0
