cell_id,Cinclus mexicanus,Cinclus mexicanus [mexicanus Group],Cinclus mexicanus ardesiacus
840c147ffffffff,4.0,0.0,0.0
840c42dffffffff,2.0,2.0,0.0
840c55bffffffff,7.0,0.0,0.0
840c665ffffffff,4.0,4.0,0.0
840c733ffffffff,14.0,0.0,0.0
840c745ffffffff,3.0,0.0,0.0
840c759ffffffff,2.0,0.0,0.0
840c769ffffffff,2.0,0.0,0.0
840d09bffffffff,2.0,0.0,0.0
840d723ffffffff,9.0,0.0,0.0
8412347ffffffff,1.0,0.0,0.0
8412591ffffffff,7.0,0.0,0.0
841285bffffffff,3.0,0.0,0.0
8412b63ffffffff,3.0,3.0,0.0
8412c03ffffffff,3.0,0.0,0.0
8412c11ffffffff,1.0,0.0,0.0
8412cb5ffffffff,2.0,0.0,0.0
8412cbdffffffff,3.0,0.0,0.0
8412ccdffffffff,1.0,1.0,0.0
8412d33ffffffff,2.0,2.0,0.0
8412da7ffffffff,12.0,0.0,0.0
8412ddbffffffff,2.0,0.0,0.0
8412e13ffffffff,2.0,0.0,0.0
8412f13ffffffff,2.0,0.0,0.0
8412f21ffffffff,2.0,0.0,0.0
8413867ffffffff,6.0,0.0,0.0
841394bffffffff,3.0,0.0,0.0
8413b35ffffffff,2.0,0.0,0.0
841d243ffffffff,1.0,1.0,0.0
8422d0bffffffff,5.0,0.0,0.0
8426813ffffffff,14.0,1.0,0.0
8426817ffffffff,3.0,1.0,0.0
8426819ffffffff,35.0,0.0,0.0
842681bffffffff,1.0,0.0,0.0
8426833ffffffff,3.0,0.0,0.0
842683dffffffff,2.0,0.0,0.0
8426853ffffffff,7.0,0.0,0.0
842685bffffffff,6.0,0.0,0.0
842688dffffffff,2.0,0.0,0.0
84268c5ffffffff,4.0,0.0,0.0
84268cdffffffff,90.0,0.0,0.0
84268e7ffffffff,2.0,0.0,0.0
84268ebffffffff,9.0,0.0,0.0
84268edffffffff,7.0,0.0,0.0
8426905ffffffff,10.0,0.0,0.0
842690dffffffff,15.0,0.0,0.0
842692bffffffff,2.0,0.0,0.0
