cell_id,Pyrrhura melanura,Pyrrhura melanura pacifica,Pyrrhura melanura chapmani,Pyrrhura melanura [melanura Group]
845f42bffffffff,2.0,0.0,0.0,0.0
846641dffffffff,3.0,0.0,0.0,3.0
8466c0dffffffff,7.0,0.0,0.0,0.0
8466c47ffffffff,1.0,0.0,1.0,0.0
8466c49ffffffff,12.0,0.0,0.0,0.0
8466c4bffffffff,2.0,0.0,0.0,0.0
8466c63ffffffff,9.0,0.0,9.0,0.0
8466d0bffffffff,29.0,20.0,0.0,0.0
8466d35ffffffff,1.0,0.0,0.0,0.0
8466d47ffffffff,4.0,0.0,0.0,0.0
8466da9ffffffff,2.0,0.0,0.0,0.0
8466de1ffffffff,4.0,0.0,0.0,4.0
8466de3ffffffff,7.0,0.0,0.0,0.0
8466e07ffffffff,4.0,0.0,0.0,0.0
8466e8dffffffff,1.0,0.0,0.0,0.0
8466ecbffffffff,6.0,0.0,0.0,0.0
848a4e7ffffffff,1.0,0.0,0.0,0.0
848a699ffffffff,1.0,0.0,0.0,0.0
848f72bffffffff,4.0,0.0,0.0,0.0
