cell_id,Psittacus erithacus,Psittacus erithacus erithacus,Psittacus erithacus princeps
8358d2fffffffff,8.0,0.0,0.0
8358d3fffffffff,4.0,2.0,0.0
8358ddfffffffff,1.0,0.0,0.0
836a9afffffffff,3.0,0.0,0.0
836a9efffffffff,42.0,0.0,0.0
836ac0fffffffff,22.0,1.0,0.0
836ac1fffffffff,330.0,47.0,0.0
836ac3fffffffff,2.0,0.0,0.0
836ac6fffffffff,2.0,0.0,0.0
836ac8fffffffff,661.0,64.0,0.0
836acafffffffff,1.0,0.0,0.0
836accfffffffff,30.0,4.0,0.0
836acdfffffffff,115.0,17.0,0.0
836acefffffffff,6.0,0.0,0.0
836ad0fffffffff,1.0,0.0,0.0
836adcfffffffff,27.0,3.0,0.0
836ae8fffffffff,2.0,2.0,0.0
836aeafffffffff,134.0,12.0,0.0
836aebfffffffff,2.0,0.0,0.0
837508fffffffff,53.0,4.0,0.0
83750dfffffffff,73.0,9.0,0.0
837519fffffffff,1.0,0.0,0.0
837521fffffffff,1.0,0.0,0.0
837529fffffffff,3.0,0.0,0.0
83752afffffffff,87.0,8.0,0.0
83752bfffffffff,6.0,0.0,0.0
837576fffffffff,16.0,0.0,0.0
837a4cfffffffff,37.0,0.0,0.0
837a4dfffffffff,2.0,0.0,0.0
838218fffffffff,14.0,0.0,0.0
83821bfffffffff,12.0,0.0,0.0
83821cfffffffff,1.0,0.0,0.0
838285fffffffff,11.0,2.0,0.0
838289fffffffff,1.0,1.0,0.0
83828afffffffff,3.0,0.0,0.0
83828bfffffffff,20.0,13.0,0.0
83828dfffffffff,225.0,98.0,0.0
838290fffffffff,3.0,0.0,0.0
838294fffffffff,1.0,0.0,0.0
838295fffffffff,1.0,0.0,0.0
8382a3fffffffff,15.0,0.0,0.0
8382a8fffffffff,29.0,5.0,0.0
8382a9fffffffff,2.0,0.0,0.0
8382aafffffffff,15.0,4.0,0.0
8382abfffffffff,43.0,11.0,0.0
8382acfffffffff,2.0,0.0,0.0
8382b0fffffffff,1.0,0.0,0.0
8382b2fffffffff,1.0,0.0,0.0
8382b3fffffffff,1.0,0.0,0.0
8382c0fffffffff,92.0,0.0,21.0
8382c6fffffffff,17.0,0.0,0.0
8382d0fffffffff,50.0,27.0,0.0
8382d1fffffffff,37.0,32.0,0.0
8382d2fffffffff,21.0,5.0,0.0
8382d3fffffffff,11.0,2.0,0.0
8382d4fffffffff,3.0,0.0,0.0
8382d5fffffffff,4.0,4.0,0.0
8382d6fffffffff,7.0,1.0,0.0
8382e3fffffffff,5.0,0.0,0.0
8382f0fffffffff,16.0,3.0,0.0
8382f2fffffffff,8.0,8.0,0.0
8382f4fffffffff,4.0,0.0,0.0
8382f6fffffffff,1.0,0.0,0.0
83831efffffffff,1.0,0.0,0.0
83838afffffffff,5.0,0.0,0.0
83838efffffffff,12.0,0.0,0.0
838392fffffffff,1.0,0.0,0.0
838398fffffffff,31.0,0.0,0.0
8396d2fffffffff,1.0,0.0,0.0
8396d8fffffffff,1.0,0.0,0.0
